experiment_name,config_path,run_root,hls_sweep_root,software_auc,software_f1,false_negative_rate,latency,LUT,BRAM,DSP
res64_layers2_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res64_layers2_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers2_WfloatAfloat_P0_RFbase_ec0f07d332b7,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers2_WfloatAfloat_P0_RFbase_ec0f07d332b7/hls_sweeps/RFbase_hls_84c85e9c365b,0.7918226113975001,0.7397260273972602,0.09243697478991597,18505,103589,73,1018
res64_layers3_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res64_layers3_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers3_WfloatAfloat_P0_RFbase_534826658db6,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers3_WfloatAfloat_P0_RFbase_534826658db6/hls_sweeps/RFbase_hls_e4f230890ace,0.8089824164960102,0.75,0.19327731092436976,18505,231445,125,3286
res64_layers4_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res64_layers4_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers4_WfloatAfloat_P0_RFbase_e6efd4e24919,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers4_WfloatAfloat_P0_RFbase_e6efd4e24919/hls_sweeps/RFbase_hls_d3590ed16b3b,0.78031212484994,0.7248908296943232,0.3025210084033613,18505,367885,140,6527
res64_layers5_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res64_layers5_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers5_WfloatAfloat_P0_RFbase_bebca77cccaa,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers5_WfloatAfloat_P0_RFbase_bebca77cccaa/hls_sweeps/RFbase_hls_7631ee638d56,0.7759339029729538,0.7078189300411523,0.2773109243697479,18505,558815,140,10878
res128_layers2_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res128_layers2_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_float/res128_layers2_WfloatAfloat_P0_RFbase_19d67b30d6ad,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_float/res128_layers2_WfloatAfloat_P0_RFbase_19d67b30d6ad/hls_sweeps/RFbase_hls_43b5759e8df8,0.8643810465362616,0.7615894039735099,0.03361344537815126,69708,210415,73,1018
res128_layers3_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res128_layers3_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_float/res128_layers3_WfloatAfloat_P0_RFbase_44c4a1acb7be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_float/res128_layers3_WfloatAfloat_P0_RFbase_44c4a1acb7be/hls_sweeps/RFbase_hls_a9ecafaec866,0.8760680742885391,0.7863247863247863,0.226890756302521,69708,270104,140,3307
res128_layers4_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res128_layers4_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_float/res128_layers4_WfloatAfloat_P0_RFbase_98796c4a9828,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_float/res128_layers4_WfloatAfloat_P0_RFbase_98796c4a9828/hls_sweeps/RFbase_hls_e0438af6026c,0.8758562248428784,0.7874015748031497,0.15966386554621848,69708,378021,199,6490
res128_layers5_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res128_layers5_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_float/res128_layers5_WfloatAfloat_P0_RFbase_dc1ddf52e359,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_float/res128_layers5_WfloatAfloat_P0_RFbase_dc1ddf52e359/hls_sweeps/RFbase_hls_4712843b454e,0.8920273991949721,0.823045267489712,0.15966386554621848,69708,566109,214,10785
res256_layers3_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res256_layers3_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img256/notebook_float/res256_layers3_WfloatAfloat_P0_RFbase_4dfacfa4f748,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img256/notebook_float/res256_layers3_WfloatAfloat_P0_RFbase_4dfacfa4f748/hls_sweeps/RFbase_hls_6dc9737e76ce,0.9050914483440434,0.8347826086956521,0.19327731092436976,270412,430950,140,3287
res256_layers4_WfloatAfloat_P0_RFbase,configs/hls4ml_experiment/res256_layers4_WfloatAfloat_P0_RFbase.yaml,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img256/notebook_float/res256_layers4_WfloatAfloat_P0_RFbase_d1ae34ef1d63,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img256/notebook_float/res256_layers4_WfloatAfloat_P0_RFbase_d1ae34ef1d63/hls_sweeps/RFbase_hls_6689eb67b8e9,0.9430831155991809,0.8744939271255061,0.09243697478991597,270412,419567,214,6499
