epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
1,0.694142,0.694038,0.694038,0.736726,0.651350,0.250445,0.500000,0.500000,0.500000,1.000000,0.861111,0.834170,0.666667,0.000000,0.021331,0.521321,0.521342,0.521322,0.833333,0.851852,0.694038,0.694038,0.736726,0.651349,0.250445,0.500000,0.500000,0.500000,1.000000,0.864583,0.827551,0.666667,0.000000,0.021332,0.521321,0.521342,0.521328,0.833333,0.840000
2,0.694160,0.693734,0.693734,0.728397,0.659070,0.250293,0.500000,0.500000,0.500000,1.000000,0.687500,0.679151,0.666667,0.000000,0.017325,0.517318,0.517332,0.517323,0.687500,0.693878,0.693734,0.693734,0.728398,0.659070,0.250293,0.500000,0.500000,0.500000,1.000000,0.690104,0.675568,0.666667,0.000000,0.017325,0.517318,0.517332,0.517318,0.687500,0.705882
3,0.693794,0.693730,0.693730,0.728757,0.658703,0.250291,0.500000,0.500000,0.500000,1.000000,0.857639,0.836758,0.666667,0.000000,0.017507,0.517492,0.517522,0.517498,0.833333,0.846154,0.693730,0.693730,0.728757,0.658703,0.250291,0.500000,0.500000,0.500000,1.000000,0.868056,0.838758,0.666667,0.000000,0.017507,0.517492,0.517522,0.517505,0.833333,0.833333
4,0.693761,0.693567,0.693567,0.723391,0.663743,0.250210,0.500000,0.500000,0.500000,1.000000,0.753472,0.725340,0.666667,0.000000,0.014908,0.514895,0.514921,0.514893,0.750000,0.777778,0.693567,0.693567,0.723391,0.663742,0.250210,0.500000,0.500000,0.500000,1.000000,0.758681,0.724087,0.666667,0.000000,0.014908,0.514896,0.514921,0.514892,0.770833,0.800000
5,0.693906,0.693613,0.693613,0.725593,0.661633,0.250233,0.500000,0.500000,0.500000,1.000000,0.892361,0.881213,0.666667,0.000000,0.015985,0.515963,0.516008,0.515981,0.833333,0.833333,0.693613,0.693613,0.725594,0.661632,0.250233,0.500000,0.500000,0.500000,1.000000,0.895833,0.884945,0.666667,0.000000,0.015986,0.515963,0.516008,0.515987,0.854167,0.851064
6,0.693600,0.693477,0.693477,0.720390,0.666564,0.250165,0.500000,0.500000,0.500000,1.000000,0.769097,0.741163,0.666667,0.000000,0.013454,0.513437,0.513470,0.513435,0.770833,0.800000,0.693476,0.693476,0.720390,0.666563,0.250164,0.500000,0.500000,0.500000,1.000000,0.772569,0.742865,0.666667,0.000000,0.013454,0.513438,0.513471,0.513435,0.791667,0.821429
7,0.693569,0.693356,0.693356,0.715508,0.671204,0.250104,0.500000,0.500000,0.500000,1.000000,0.769097,0.738926,0.666667,0.000000,0.011075,0.511056,0.511093,0.511054,0.770833,0.800000,0.693355,0.693355,0.715508,0.671202,0.250104,0.500000,0.500000,0.500000,1.000000,0.770833,0.738059,0.666667,0.000000,0.011075,0.511056,0.511094,0.511054,0.791667,0.821429
8,0.693394,0.693307,0.693307,0.714076,0.672538,0.250080,0.500000,0.500000,0.500000,1.000000,0.836806,0.798326,0.666667,0.000000,0.010384,0.510356,0.510412,0.510376,0.791667,0.800000,0.693306,0.693306,0.714077,0.672536,0.250079,0.500000,0.500000,0.500000,1.000000,0.840278,0.805213,0.666667,0.000000,0.010384,0.510356,0.510413,0.510353,0.812500,0.842105
9,0.693451,0.693225,0.693225,0.709510,0.676940,0.250039,0.500000,0.500000,0.500000,1.000000,0.805556,0.777382,0.666667,0.000000,0.008142,0.508115,0.508170,0.508110,0.791667,0.821429,0.693224,0.693224,0.709510,0.676938,0.250038,0.500000,0.500000,0.500000,1.000000,0.800347,0.775656,0.666667,0.000000,0.008143,0.508115,0.508171,0.508123,0.791667,0.821429
10,0.693338,0.693179,0.693179,0.708316,0.678041,0.250016,0.500000,0.500000,0.500000,1.000000,0.869792,0.855715,0.666667,0.000000,0.007569,0.507527,0.507610,0.507563,0.833333,0.840000,0.693178,0.693178,0.708317,0.678038,0.250015,0.500000,0.500000,0.500000,1.000000,0.876736,0.861504,0.666667,0.000000,0.007570,0.507528,0.507612,0.507564,0.833333,0.840000
11,0.693274,0.693137,0.693137,0.709522,0.676753,0.249995,0.500000,0.500000,0.500000,1.000000,0.940972,0.939372,0.666667,0.000000,0.008193,0.508121,0.508265,0.508133,0.895833,0.905660,0.693137,0.693137,0.709523,0.676750,0.249995,0.500000,0.500000,0.500000,1.000000,0.946181,0.945766,0.666667,0.000000,0.008194,0.508121,0.508266,0.508149,0.895833,0.905660
12,0.693237,0.693070,0.693070,0.704493,0.681646,0.249961,0.500000,0.500000,0.500000,1.000000,0.921875,0.916288,0.666667,0.000000,0.005712,0.505641,0.505784,0.505720,0.854167,0.851064,0.693069,0.693069,0.704494,0.681644,0.249961,0.500000,0.500000,0.500000,1.000000,0.930556,0.923589,0.666667,0.000000,0.005713,0.505641,0.505785,0.505707,0.875000,0.875000
13,0.693256,0.693008,0.693008,0.703253,0.682763,0.249930,0.500000,0.500000,0.500000,1.000000,0.953125,0.952320,0.666667,0.000000,0.005123,0.505027,0.505219,0.505073,0.895833,0.901961,0.693007,0.693007,0.703254,0.682759,0.249930,0.500000,0.500000,0.500000,1.000000,0.958333,0.956159,0.666667,0.000000,0.005125,0.505028,0.505221,0.505072,0.916667,0.923077
14,0.693131,0.692941,0.692941,0.704689,0.681192,0.249897,0.500000,0.500000,0.500000,1.000000,0.965278,0.967306,0.666667,0.000000,0.005876,0.505738,0.506013,0.505893,0.895833,0.888889,0.692940,0.692940,0.704692,0.681189,0.249897,0.500000,0.500000,0.500000,1.000000,0.970486,0.972189,0.666667,0.000000,0.005877,0.505739,0.506015,0.505807,0.916667,0.923077
15,0.693284,0.692901,0.692901,0.703811,0.681992,0.249877,0.500000,0.500000,0.500000,1.000000,0.968750,0.970730,0.666667,0.000000,0.005456,0.505303,0.505609,0.505367,0.916667,0.923077,0.692901,0.692901,0.703813,0.681988,0.249877,0.500000,0.500000,0.500000,1.000000,0.970486,0.972189,0.666667,0.000000,0.005458,0.505305,0.505611,0.505382,0.916667,0.923077
16,0.693372,0.692868,0.692868,0.708473,0.677262,0.249860,0.500000,0.500000,0.500000,1.000000,0.971354,0.973358,0.666667,0.000000,0.007805,0.507604,0.508006,0.507819,0.895833,0.888889,0.692868,0.692868,0.708476,0.677259,0.249860,0.500000,0.500000,0.500000,1.000000,0.973958,0.975857,0.666667,0.000000,0.007807,0.507606,0.508007,0.507704,0.916667,0.923077
17,0.693188,0.692828,0.692828,0.707541,0.678115,0.249840,0.500000,0.500000,0.500000,1.000000,0.973958,0.975857,0.666667,0.000000,0.007359,0.507145,0.507573,0.507241,0.916667,0.923077,0.692828,0.692828,0.707544,0.678112,0.249841,0.500000,0.500000,0.500000,1.000000,0.973958,0.975857,0.666667,0.000000,0.007361,0.507147,0.507574,0.507253,0.916667,0.923077
18,0.693028,0.692808,0.692808,0.704462,0.681153,0.249830,0.500000,0.500000,0.500000,1.000000,0.972222,0.974272,0.666667,0.000000,0.005830,0.505626,0.506033,0.505718,0.916667,0.923077,0.692808,0.692808,0.704466,0.681149,0.249830,0.500000,0.500000,0.500000,1.000000,0.973958,0.975682,0.666667,0.000000,0.005831,0.505628,0.506035,0.505734,0.916667,0.923077
19,0.693323,0.692794,0.692794,0.699046,0.686541,0.249823,0.500000,0.500000,0.500000,1.000000,0.972222,0.973599,0.666667,0.000000,0.003127,0.502941,0.503314,0.503025,0.916667,0.923077,0.692794,0.692794,0.699050,0.686538,0.249823,0.500000,0.500000,0.500000,1.000000,0.973958,0.974964,0.666667,0.000000,0.003129,0.502943,0.503316,0.503052,0.916667,0.920000
20,0.693256,0.692716,0.692716,0.704742,0.680691,0.249785,0.500000,0.500000,0.500000,1.000000,0.973958,0.975857,0.666667,0.000000,0.006016,0.505764,0.506267,0.505885,0.916667,0.923077,0.692717,0.692717,0.704746,0.680687,0.249785,0.500000,0.500000,0.500000,1.000000,0.975694,0.977841,0.666667,0.000000,0.006018,0.505766,0.506269,0.506055,0.916667,0.909091
21,0.692984,0.692710,0.692710,0.700789,0.684631,0.249781,0.500000,0.500000,0.500000,1.000000,0.972222,0.974272,0.666667,0.000000,0.004041,0.503807,0.504276,0.503918,0.916667,0.923077,0.692710,0.692710,0.700793,0.684627,0.249782,0.500000,0.500000,0.500000,1.000000,0.977431,0.979032,0.666667,0.000000,0.004043,0.503808,0.504278,0.504102,0.916667,0.909091
22,0.692827,0.692614,0.692614,0.699840,0.685388,0.249733,0.500000,0.500000,0.500000,1.000000,0.973958,0.975857,0.666667,0.000000,0.003615,0.503335,0.503895,0.503472,0.916667,0.923077,0.692615,0.692615,0.699845,0.685384,0.249734,0.500000,0.500000,0.500000,1.000000,0.977431,0.979252,0.666667,0.000000,0.003617,0.503338,0.503897,0.503668,0.916667,0.909091
23,0.692963,0.692531,0.692531,0.698644,0.686418,0.249692,0.500000,0.500000,0.500000,1.000000,0.975694,0.977841,0.666667,0.000000,0.003058,0.502741,0.503376,0.503111,0.916667,0.909091,0.692531,0.692531,0.698650,0.686413,0.249692,0.500000,0.500000,0.500000,1.000000,0.979167,0.980779,0.666667,0.000000,0.003061,0.502744,0.503378,0.503111,0.916667,0.909091
24,0.693237,0.692385,0.692385,0.708525,0.676245,0.249619,0.500000,0.500000,0.500000,1.000000,0.970486,0.975435,0.666667,0.000000,0.008076,0.507630,0.508523,0.508041,0.937500,0.933333,0.692386,0.692386,0.708531,0.676241,0.249620,0.500000,0.500000,0.500000,1.000000,0.977431,0.980376,0.666667,0.000000,0.008079,0.507633,0.508525,0.508041,0.937500,0.933333
25,0.693111,0.692585,0.692585,0.694452,0.690718,0.249719,0.500000,0.500000,0.500000,1.000000,0.977431,0.979032,0.666667,0.000000,0.000934,0.500652,0.501216,0.501037,0.916667,0.909091,0.692585,0.692585,0.694456,0.690714,0.249719,0.500000,0.500000,0.500000,1.000000,0.980903,0.981939,0.666667,0.000000,0.000936,0.500654,0.501218,0.500822,0.937500,0.941176
26,0.692775,0.692463,0.692463,0.698041,0.686885,0.249658,0.500000,0.500000,0.500000,1.000000,0.975694,0.977841,0.666667,0.000000,0.002791,0.502441,0.503141,0.502887,0.916667,0.909091,0.692464,0.692464,0.698047,0.686881,0.249658,0.500000,0.500000,0.500000,1.000000,0.982639,0.983619,0.666667,0.000000,0.002793,0.502444,0.503143,0.502669,0.937500,0.938776
27,0.692792,0.692334,0.692334,0.700178,0.684490,0.249593,0.500000,0.500000,0.500000,1.000000,0.977431,0.979385,0.666667,0.000000,0.003925,0.503503,0.504348,0.503994,0.916667,0.909091,0.692335,0.692335,0.700184,0.684485,0.249594,0.500000,0.500000,0.500000,1.000000,0.982639,0.983669,0.666667,0.000000,0.003928,0.503506,0.504350,0.503721,0.937500,0.941176
28,0.692666,0.692269,0.692269,0.698483,0.686056,0.249561,0.500000,0.500000,0.500000,1.000000,0.977431,0.979385,0.666667,0.000000,0.003110,0.502661,0.503558,0.503180,0.916667,0.909091,0.692270,0.692270,0.698490,0.686051,0.249562,0.500000,0.500000,0.500000,1.000000,0.982639,0.983669,0.666667,0.000000,0.003113,0.502664,0.503561,0.502892,0.937500,0.941176
29,0.692619,0.692192,0.692192,0.697990,0.686394,0.249522,0.500000,0.500000,0.500000,1.000000,0.977431,0.979385,0.666667,0.000000,0.002902,0.502415,0.503388,0.502970,0.916667,0.909091,0.692193,0.692193,0.697997,0.686389,0.249523,0.500000,0.500000,0.500000,1.000000,0.982639,0.983669,0.666667,0.000000,0.002905,0.502419,0.503391,0.502662,0.937500,0.941176
30,0.693127,0.692013,0.692013,0.709493,0.674533,0.249433,0.500000,0.500000,0.500000,1.000000,0.960069,0.968125,0.666667,0.000000,0.008750,0.508106,0.509395,0.508784,0.916667,0.909091,0.692014,0.692014,0.709502,0.674526,0.249434,0.500000,0.500000,0.500000,1.000000,0.967014,0.972339,0.666667,0.000000,0.008755,0.508111,0.509398,0.508778,0.916667,0.909091
31,0.693695,0.692349,0.692349,0.689245,0.695454,0.249601,0.500000,0.500000,0.000000,0.000000,0.984375,0.984942,0.000000,0.000000,0.001554,0.498045,0.498848,0.498297,0.937500,0.938776,0.692350,0.692350,0.689251,0.695449,0.249601,0.500000,0.500000,0.000000,0.000000,0.986111,0.986671,0.000000,0.000000,0.001551,0.498048,0.498851,0.498317,0.937500,0.938776
32,0.692755,0.692268,0.692268,0.690074,0.694461,0.249560,0.500000,0.500000,0.000000,0.000000,0.986111,0.986366,0.000000,0.000000,0.001098,0.498461,0.499344,0.498711,0.958333,0.960000,0.692269,0.692269,0.690080,0.694457,0.249561,0.500000,0.500000,0.000000,0.000000,0.987847,0.988095,0.000000,0.000000,0.001095,0.498464,0.499346,0.498735,0.958333,0.960000
33,0.692699,0.692033,0.692033,0.700348,0.683718,0.249443,0.500000,0.500000,0.500000,1.000000,0.979167,0.980617,0.666667,0.000000,0.004162,0.503587,0.504737,0.504288,0.916667,0.909091,0.692034,0.692034,0.700356,0.683713,0.249444,0.500000,0.500000,0.500000,1.000000,0.984375,0.985197,0.666667,0.000000,0.004165,0.503591,0.504740,0.503900,0.937500,0.941176
