sample_index,logit_fixed_raw,logit,magic,frame_counter,input_beats,tlast_count,first_tlast_beat,last_tlast_beat,early_tlast,missing_tlast,keep_error_count,full_sum_raw,weighted_sum_raw,first_lane0_raw,last_lane0_raw,latency_us
21,-4018,-3.923828125,17986,145,2048,1,2047,2047,0,0,0,63220,30804,4,4,3187.407
44,-4059,-3.9638671875,17986,146,2048,1,2047,2047,0,0,0,5949,13958,4,4,3174.913
13,-4059,-3.9638671875,17986,147,2048,1,2047,2047,0,0,0,63227,39520,4,4,3239.515
47,-4059,-3.9638671875,17986,148,2048,1,2047,2047,0,0,0,11947,24070,4,4,3202.325
12,-4018,-3.923828125,17986,149,2048,1,2047,2047,0,0,0,10301,5776,4,4,3203.076
22,-4070,-3.974609375,17986,150,2048,1,2047,2047,0,0,0,1512,20479,4,4,3200.322
27,-4059,-3.9638671875,17986,151,2048,1,2047,2047,0,0,0,20224,15138,4,4,3233.284
16,-4059,-3.9638671875,17986,152,2048,1,2047,2047,0,0,0,61615,61504,4,4,3192.466
26,-4059,-3.9638671875,17986,153,2048,1,2047,2047,0,0,0,6808,18392,4,4,3192.456
19,-4059,-3.9638671875,17986,154,2048,1,2047,2047,0,0,0,59258,49951,4,4,3267.419
25,-4059,-3.9638671875,17986,155,2048,1,2047,2047,0,0,0,51009,23571,4,4,3200.401
9,-4100,-4.00390625,17986,156,2048,1,2047,2047,0,0,0,24426,18948,4,4,3231.42
10,-4059,-3.9638671875,17986,157,2048,1,2047,2047,0,0,0,11027,28180,64259,4,3267.98
4,-4059,-3.9638671875,17986,158,2048,1,2047,2047,0,0,0,56035,38774,64259,4,3194.601
30,-4100,-4.00390625,17986,159,2048,1,2047,2047,0,0,0,22050,30443,4,4,3224.026
20,-4018,-3.923828125,17986,160,2048,1,2047,2047,0,0,0,19546,44413,4,4,3196.123
6,-4059,-3.9638671875,17986,161,2048,1,2047,2047,0,0,0,37566,18052,4,4,3198.137
28,-4059,-3.9638671875,17986,162,2048,1,2047,2047,0,0,0,14506,34254,4,4,3200.061
40,-4059,-3.9638671875,17986,163,2048,1,2047,2047,0,0,0,62448,19696,4,4,3197.897
18,-4059,-3.9638671875,17986,164,2048,1,2047,2047,0,0,0,15829,53055,4,4,3195.622
11,-4059,-3.9638671875,17986,165,2048,1,2047,2047,0,0,0,41053,58277,4,4,3192.928
14,-4059,-3.9638671875,17986,166,2048,1,2047,2047,0,0,0,63638,16837,4,4,3201.524
29,-4059,-3.9638671875,17986,167,2048,1,2047,2047,0,0,0,51872,33087,4,4,3191.775
39,-4059,-3.9638671875,17986,168,2048,1,2047,2047,0,0,0,34084,25287,61187,4,3189.972
43,-4018,-3.923828125,17986,169,2048,1,2047,2047,0,0,0,45763,20988,4,4,3204.739
34,-4059,-3.9638671875,17986,170,2048,1,2047,2047,0,0,0,1783,9196,4,4,3203.858
5,-4018,-3.923828125,17986,171,2048,1,2047,2047,0,0,0,3625,52087,32515,4,3206.443
17,-4059,-3.9638671875,17986,172,2048,1,2047,2047,0,0,0,40650,57656,4,4,3185.303
2,-4059,-3.9638671875,17986,173,2048,1,2047,2047,0,0,0,48636,42610,35330,4,3196.925
46,-4059,-3.9638671875,17986,174,2048,1,2047,2047,0,0,0,34728,5647,4,4,3196.724
24,-4059,-3.9638671875,17986,175,2048,1,2047,2047,0,0,0,53586,51925,4,4,3201.403
42,-4100,-4.00390625,17986,176,2048,1,2047,2047,0,0,0,4831,60696,4,4,3165.426
15,-4100,-4.00390625,17986,177,2048,1,2047,2047,0,0,0,26102,33768,4,4,3200.522
1,-4098,-4.001953125,17986,178,2048,1,2047,2047,0,0,0,33156,14376,4,4,3197.466
32,-4059,-3.9638671875,17986,179,2048,1,2047,2047,0,0,0,63466,54526,4,4,3192.867
45,-4059,-3.9638671875,17986,180,2048,1,2047,2047,0,0,0,59203,16088,4,4,3197.706
38,-4059,-3.9638671875,17986,181,2048,1,2047,2047,0,0,0,52702,38775,4,4,3197.997
35,-4059,-3.9638671875,17986,182,2048,1,2047,2047,0,0,0,4265,2444,4,4,3198.138
36,-4057,-3.9619140625,17986,183,2048,1,2047,2047,0,0,0,16862,5678,32515,4,3194.38
8,-4018,-3.923828125,17986,184,2048,1,2047,2047,0,0,0,48035,40725,4,4,3199.9
3,-4059,-3.9638671875,17986,185,2048,1,2047,2047,0,0,0,42340,25594,4,4,3192.917
0,-4057,-3.9619140625,17986,186,2048,1,2047,2047,0,0,0,16191,20101,4,4,3197.716
41,-4018,-3.923828125,17986,187,2048,1,2047,2047,0,0,0,14174,4871,4,4,3197.556
31,-4059,-3.9638671875,17986,188,2048,1,2047,2047,0,0,0,10522,22372,4,4,3202.255
7,-4059,-3.9638671875,17986,189,2048,1,2047,2047,0,0,0,42253,19819,4,4,3179.111
23,-4059,-3.9638671875,17986,190,2048,1,2047,2047,0,0,0,43011,62616,4,4,3192.015
33,-4018,-3.923828125,17986,191,2048,1,2047,2047,0,0,0,60278,49813,4,4,3194.981
37,-4059,-3.9638671875,17986,192,2048,1,2047,2047,0,0,0,43447,39331,4,4,3195.683
