phase,sample_index,repetition,latency_us,lane_00_raw,lane_01_raw,lane_02_raw,lane_03_raw,lane_04_raw,lane_05_raw,lane_06_raw,lane_07_raw,lane_08_raw,lane_09_raw,lane_10_raw,lane_11_raw,lane_12_raw,lane_13_raw,lane_14_raw,lane_15_raw,lane_16_raw,lane_17_raw,lane_18_raw,lane_19_raw,lane_20_raw,lane_21_raw,lane_22_raw,lane_23_raw,lane_24_raw,lane_25_raw,lane_26_raw,lane_27_raw,lane_28_raw,lane_29_raw,lane_30_raw,lane_31_raw,lane_32_raw,lane_33_raw,lane_34_raw,lane_35_raw,lane_36_raw,lane_37_raw,lane_38_raw,lane_39_raw,lane_40_raw,lane_41_raw,lane_42_raw,lane_43_raw,lane_44_raw,lane_45_raw,lane_46_raw,lane_47_raw,lane_48_raw,lane_49_raw,lane_50_raw,lane_51_raw,lane_52_raw,lane_53_raw,lane_54_raw,lane_55_raw,lane_56_raw,lane_57_raw,lane_58_raw,lane_59_raw,lane_60_raw,lane_61_raw,lane_62_raw,lane_63_raw
warmup_zero,-1,1,3190.773,21042,0,2048,1,2047,2047,0,0,0,0,0,0,0,4778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778
warmup_zero,-1,2,3249.024,21042,1,2048,1,2047,2047,0,0,0,0,0,0,0,4778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778,4778
sample,0,1,3215.66,21042,2,2048,1,2047,2047,0,0,0,62179,35286,0,1024,7106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106
sample,0,2,3213.346,21042,3,2048,1,2047,2047,0,0,0,62179,35286,0,1024,7106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106
sample,0,3,3190.773,21042,4,2048,1,2047,2047,0,0,0,62179,35286,0,1024,7106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106
sample,1,1,3245.867,21042,5,2048,1,2047,2047,0,0,0,50724,38676,0,895,6647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647
sample,1,2,3236.66,21042,6,2048,1,2047,2047,0,0,0,50724,38676,0,895,6647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647
sample,1,3,3194.771,21042,7,2048,1,2047,2047,0,0,0,50724,38676,0,895,6647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647,6647
sample,2,1,3233.985,21042,8,2048,1,2047,2047,0,0,0,4960,43642,0,1024,6638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638
sample,2,2,3213.957,21042,9,2048,1,2047,2047,0,0,0,4960,43642,0,1024,6638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638
sample,2,3,3237.372,21042,10,2048,1,2047,2047,0,0,0,4960,43642,0,1024,6638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638
sample,3,1,3194.881,21042,11,2048,1,2047,2047,0,0,0,54604,59430,0,1024,5295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295
sample,3,2,3236.299,21042,12,2048,1,2047,2047,0,0,0,54604,59430,0,1024,5295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295
sample,3,3,3222.634,21042,13,2048,1,2047,2047,0,0,0,54604,59430,0,1024,5295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295
sample,4,1,3226.801,21042,14,2048,1,2047,2047,0,0,0,56699,5949,0,1024,8955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955
sample,4,2,3201.404,21042,15,2048,1,2047,2047,0,0,0,56699,5949,0,1024,8955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955
sample,4,3,3244.705,21042,16,2048,1,2047,2047,0,0,0,56699,5949,0,1024,8955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955
sample,5,1,3193.729,21042,17,2048,1,2047,2047,0,0,0,19121,20446,0,1024,7907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907
sample,5,2,3235.929,21042,18,2048,1,2047,2047,0,0,0,19121,20446,0,1024,7907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907
sample,5,3,3240.317,21042,19,2048,1,2047,2047,0,0,0,19121,20446,0,1024,7907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907,7907
sample,6,1,3196.014,21042,20,2048,1,2047,2047,0,0,0,17470,3454,0,1024,8610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610
sample,6,2,3265.095,21042,21,2048,1,2047,2047,0,0,0,17470,3454,0,1024,8610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610
