Sample in Buffer,Sample in Window,TRIGGER,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tdata[511:0],inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[1]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[1]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[1]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[1]\\.tdata[511:0],inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tdata[511:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,1,1,1,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,2,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,3,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,4,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,5,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,6,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,7,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,8,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,9,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10,10,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,11,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,12,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,13,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,14,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15,15,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,16,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17,17,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
