sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,5294.982
1,2480,2.421875,4301.263
2,2288,2.234375,4247.732
3,2048,2,4274.182
4,2336,2.28125,4247.752
5,3264,3.1875,4269.553
6,2816,2.75,4300.161
7,4032,3.9375,4290.102
8,3696,3.609375,4271.346
9,2576,2.515625,4267.048
10,3712,3.625,4256.688
11,2496,2.4375,4256.769
12,2320,2.265625,4259.784
13,4208,4.109375,4260.827
14,3632,3.546875,4263.512
15,3728,3.640625,4272.999
16,3408,3.328125,4248.683
17,2880,2.8125,4255.907
18,2192,2.140625,4258.722
19,3968,3.875,4262.038
20,3904,3.8125,4255.787
21,2496,2.4375,4245.067
22,1552,1.515625,4261.738
23,3408,3.328125,4263.692
24,4688,4.578125,4254.956
25,4544,4.4375,4264.213
26,6992,6.828125,4260.085
27,4592,4.484375,5285.002
28,5040,4.921875,4260.075
29,6032,5.890625,4256.429
30,5968,5.828125,4294.26
31,6256,6.109375,4241.46
32,4960,4.84375,4261.187
33,6736,6.578125,4265.055
34,7536,7.359375,4255.156
35,4208,4.109375,5279.202
36,5760,5.625,4249.845
37,3792,3.703125,4241.71
38,5184,5.0625,4262.299
39,6336,6.1875,4261.919
40,3840,3.75,4250.988
41,4416,4.3125,4262.74
42,4448,4.34375,4266.837
43,4800,4.6875,4263.131
44,5072,4.953125,4256.268
45,4432,4.328125,4264.604
46,5664,5.53125,4251.358
47,6992,6.828125,4260.105
