sample_index,logit_fixed_raw,logit,latency_us
0,20422,19.943359375,2139.215
1,19589,19.1298828125,2124.116
2,17860,17.44140625,2136.019
3,17485,17.0751953125,2130.147
4,18859,18.4169921875,2133.164
5,19460,19.00390625,2131.41
6,18501,18.0673828125,2138.062
7,21112,20.6171875,2131.159
8,15911,15.5380859375,2137.672
9,17380,16.97265625,2124.817
10,23090,22.548828125,2138.804
11,17457,17.0478515625,2158.161
12,14484,14.14453125,2118.526
13,18951,18.5068359375,2147.059
14,15646,15.279296875,2122.724
15,19493,19.0361328125,2125.589
16,21340,20.83984375,2146.298
17,19361,18.9072265625,2121.061
18,18150,17.724609375,2087.637
19,18005,17.5830078125,2121.752
20,22095,21.5771484375,2129.356
21,18948,18.50390625,2130.599
22,20567,20.0849609375,2138.173
23,20556,20.07421875,2123.425
24,20994,20.501953125,2136.99
25,24966,24.380859375,2132.342
26,26621,25.9970703125,2129.156
27,20090,19.619140625,2139.746
28,23469,22.9189453125,2132.152
29,24604,24.02734375,2132.522
30,21973,21.4580078125,2137.452
31,23788,23.23046875,2134.796
32,23072,22.53125,2144.444
33,22234,21.712890625,2138.553
34,26574,25.951171875,2140.618
35,20088,19.6171875,2128.514
36,17137,16.7353515625,2144.765
37,19233,18.7822265625,2134.015
38,23692,23.13671875,2137.922
39,23421,22.8720703125,2128.625
40,16430,16.044921875,2147.841
41,21924,21.41015625,2143.803
42,24142,23.576171875,2137.452
43,23878,23.318359375,2134.256
44,20979,20.4873046875,2131.561
45,22952,22.4140625,2137.532
46,27678,27.029296875,2126.892
47,25319,24.7255859375,2137.893
