sample_index,logit_fixed_raw,logit,latency_us
0,-12797,-12.4970703125,2140.067
1,-12770,-12.470703125,2135.938
2,-12797,-12.4970703125,2123.996
3,-12831,-12.5302734375,2126.39
4,-12770,-12.470703125,2124.838
5,-12770,-12.470703125,2103.678
6,-12831,-12.5302734375,2124.517
7,-12831,-12.5302734375,2132.402
8,-12770,-12.470703125,2130.669
9,-12812,-12.51171875,2128.595
10,-12770,-12.470703125,2137.131
11,-12797,-12.4970703125,2134.726
12,-12797,-12.4970703125,2129.396
13,-12759,-12.4599609375,2128.665
14,-12838,-12.537109375,2137.192
15,-12831,-12.5302734375,2122.263
16,-12831,-12.5302734375,2134.787
17,-12770,-12.470703125,2125.969
18,-12778,-12.478515625,2133.795
19,-12812,-12.51171875,2130.939
20,-12819,-12.5185546875,2141.909
21,-12853,-12.5517578125,2124.296
22,-12797,-12.4970703125,2122.714
23,-12797,-12.4970703125,2135.328
24,-12819,-12.5185546875,2132.493
25,-12805,-12.5048828125,2124.257
26,-12797,-12.4970703125,2134.345
27,-12838,-12.537109375,2134.737
28,-12797,-12.4970703125,2131.08
29,-12804,-12.50390625,2128.976
30,-12770,-12.470703125,2137.943
31,-12819,-12.5185546875,2132.362
32,-12805,-12.5048828125,2129.556
33,-12819,-12.5185546875,2134.616
34,-12770,-12.470703125,2129.988
35,-12758,-12.458984375,2136.65
36,-12797,-12.4970703125,2132.823
37,-12887,-12.5849609375,2131.23
38,-12797,-12.4970703125,2130.379
39,-12811,-12.5107421875,2140.347
40,-12838,-12.537109375,2128.845
41,-12846,-12.544921875,2134.847
42,-12805,-12.5048828125,2131.61
43,-12831,-12.5302734375,2134.777
44,-12812,-12.51171875,2123.165
45,-12797,-12.4970703125,2131.47
46,-12812,-12.51171875,2136.209
47,-12838,-12.537109375,2108.156
