sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4258.632
1,2480,2.421875,4295.141
2,2288,2.234375,4254.184
3,2048,2,4295.391
4,2336,2.28125,4304.729
5,3264,3.1875,4307.815
6,2816,2.75,4325.929
7,4032,3.9375,4297.937
8,3696,3.609375,4262.78
9,2576,2.515625,4354.414
10,3712,3.625,4314.447
11,2496,2.4375,4270.815
12,2320,2.265625,4351.108
13,4208,4.109375,4253.192
14,3632,3.546875,4293.778
15,3728,3.640625,4293.899
16,3408,3.328125,4291.764
17,2880,2.8125,4361.507
18,2192,2.140625,4296.203
19,3968,3.875,4269.713
20,3904,3.8125,4319.888
21,2496,2.4375,4305.11
22,1552,1.515625,4336.589
23,3408,3.328125,4324.467
24,4688,4.578125,4262.639
25,4544,4.4375,4274.131
26,6992,6.828125,4309.949
27,4592,4.484375,4251.218
28,5040,4.921875,4301.102
29,6032,5.890625,4297.536
30,5968,5.828125,4305.27
31,6256,6.109375,4337.582
32,4960,4.84375,4281.796
33,6736,6.578125,4295.432
34,7536,7.359375,4295.041
35,4208,4.109375,4264.243
36,5760,5.625,4364.483
37,3792,3.703125,4240.588
38,5184,5.0625,4262.56
39,6336,6.1875,4348.953
40,3840,3.75,4283.87
41,4416,4.3125,4260.776
42,4448,4.34375,4324.407
43,4800,4.6875,4332.472
44,5072,4.953125,4295.201
45,4432,4.328125,4263.181
46,5664,5.53125,4302.355
47,6992,6.828125,4262.098
