sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4241.24
1,2496,2.4375,5261.388
2,3040,2.96875,4239.075
3,2720,2.65625,4237.362
4,3120,3.046875,4294.75
5,3360,3.28125,4264.694
6,3472,3.390625,4331.26
7,4416,4.3125,4287.988
8,3856,3.765625,4261.448
9,2880,2.8125,4262.85
10,3904,3.8125,4315.159
11,3712,3.625,4249.465
12,2816,2.75,4248.674
13,5088,4.96875,4246.509
14,3504,3.421875,4242.782
15,3952,3.859375,4262.369
16,3760,3.671875,5289.612
17,3472,3.390625,4250.046
18,2224,2.171875,4262.49
19,3968,3.875,4259.063
20,4400,4.296875,4264.203
21,3552,3.46875,4238.895
22,1904,1.859375,4259.364
23,3952,3.859375,4257.751
24,4768,4.65625,4256.187
25,4992,4.875,4258.612
26,7200,7.03125,4261.338
27,5136,5.015625,4253.973
28,5536,5.40625,4259.143
29,6384,6.234375,5294.781
30,6464,6.3125,4254.494
31,6464,6.3125,4258.542
32,5488,5.359375,4261.508
33,6960,6.796875,4261.207
34,7536,7.359375,4261.989
35,4208,4.109375,4261.618
36,6032,5.890625,4317.954
37,4336,4.234375,4265.064
38,6128,5.984375,4274.392
39,6784,6.625,4244.776
40,4336,4.234375,4287.146
41,5040,4.921875,4270.434
42,5040,4.921875,4261.748
43,5440,5.3125,4270.394
44,6064,5.921875,4235.258
45,4944,4.828125,4258.983
46,5856,5.71875,4284.811
47,6768,6.609375,4244.505
