experiment_name,phase,input_resolution,num_layers,conv_filters,final_feature_map_height,final_feature_map_width,final_channels,final_avg_pool,final_pool_area,final_pool_work,tier,weight_bits,activation_bits,pruning_target,reuse_factor,status,skip_reason,config_path
res256_layers6_W8A8_P50_RF1,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,1,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF1.yaml
res256_layers6_W8A8_P50_RF2,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,2,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF2.yaml
res256_layers6_W8A8_P50_RF4,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,4,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF4.yaml
res256_layers6_W8A8_P50_RF8,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,8,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF8.yaml
res256_layers6_W8A8_P50_RF16,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,16,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF16.yaml
res256_layers6_W8A8_P50_RF32,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,32,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF32.yaml
res256_layers7_W8A8_P50_RF1,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,1,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers7_W8A8_P50_RF1.yaml
res256_layers7_W8A8_P50_RF2,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,2,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers7_W8A8_P50_RF2.yaml
res256_layers7_W8A8_P50_RF4,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,4,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers7_W8A8_P50_RF4.yaml
res256_layers7_W8A8_P50_RF8,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,8,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers7_W8A8_P50_RF8.yaml
res256_layers7_W8A8_P50_RF16,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,16,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers7_W8A8_P50_RF16.yaml
res256_layers7_W8A8_P50_RF32,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,32,pending,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers7_W8A8_P50_RF32.yaml
