experiment_name,phase,tier,status,requested_stages,completed_stages,failure_stage,failure_reason,run_root,hls_sweep_root,config_path,started_at,finished_at
res256_layers6_W8A8_P50_RF32,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF32_hls_a52a4f5c8eb0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers6/res256_layers6_W8A8_P50_RF32.yaml,2026-05-11 15:40:55,2026-05-11 16:01:57
res256_layers6_W8A8_P50_RF16,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF16_hls_2ae4f9f993ba,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers6/res256_layers6_W8A8_P50_RF16.yaml,2026-05-11 15:40:55,2026-05-11 16:03:27
res256_layers6_W8A8_P50_RF8,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF8_hls_6a8b77936ad4,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers6/res256_layers6_W8A8_P50_RF8.yaml,2026-05-11 15:40:55,2026-05-11 16:04:12
res256_layers6_W8A8_P50_RF4,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF4_hls_4d37d781c0e9,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers6/res256_layers6_W8A8_P50_RF4.yaml,2026-05-11 15:40:55,2026-05-11 16:06:27
res256_layers6_W8A8_P50_RF1,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF1_hls_0b76287d64be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers6/res256_layers6_W8A8_P50_RF1.yaml,2026-05-11 15:40:55,2026-05-11 16:12:13
res256_layers6_W8A8_P50_RF2,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF2_hls_03b2e6380d64,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers6/res256_layers6_W8A8_P50_RF2.yaml,2026-05-11 15:40:55,2026-05-11 16:16:13
res256_layers7_W8A8_P50_RF32,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF32_hls_5e0f667cf9a3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers7/res256_layers7_W8A8_P50_RF32.yaml,2026-05-11 16:16:32,2026-05-11 16:40:49
res256_layers7_W8A8_P50_RF16,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF16_hls_45017a6dee1e,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers7/res256_layers7_W8A8_P50_RF16.yaml,2026-05-11 16:16:32,2026-05-11 16:41:34
res256_layers7_W8A8_P50_RF8,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF8_hls_d36daf8b1138,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers7/res256_layers7_W8A8_P50_RF8.yaml,2026-05-11 16:16:33,2026-05-11 16:42:35
res256_layers7_W8A8_P50_RF4,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF4_hls_9b52ae749342,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers7/res256_layers7_W8A8_P50_RF4.yaml,2026-05-11 16:16:32,2026-05-11 16:46:05
res256_layers7_W8A8_P50_RF1,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers7/res256_layers7_W8A8_P50_RF1.yaml,2026-05-11 16:16:32,2026-05-11 16:53:20
res256_layers7_W8A8_P50_RF2,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF2_hls_2f69d3274d82,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/layers7/res256_layers7_W8A8_P50_RF2.yaml,2026-05-11 16:16:32,2026-05-11 17:02:21
