index,sample_id,class_label,class_name,ro_count,bitstream_path,blob_path
0,it1_B000,0,benign,0,config_000/vfpga_c000_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/000_it1_B000.bin
1,it1_B007,0,benign,0,config_007/vfpga_c007_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/001_it1_B007.bin
2,it1_B024,0,benign,0,config_024/vfpga_c024_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/002_it1_B024.bin
3,it1_B027,0,benign,0,config_027/vfpga_c027_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/003_it1_B027.bin
4,it1_B031,0,benign,0,config_031/vfpga_c031_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/004_it1_B031.bin
5,it1_B034,0,benign,0,config_034/vfpga_c034_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/005_it1_B034.bin
6,it1_B038,0,benign,0,config_038/vfpga_c038_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/006_it1_B038.bin
7,it1_B042,0,benign,0,config_042/vfpga_c042_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/007_it1_B042.bin
8,it1_B047,0,benign,0,config_047/vfpga_c047_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/008_it1_B047.bin
9,it1_B055,0,benign,0,config_055/vfpga_c055_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/009_it1_B055.bin
10,it1_B060,0,benign,0,config_060/vfpga_c060_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/010_it1_B060.bin
11,it1_B063,0,benign,0,config_063/vfpga_c063_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/011_it1_B063.bin
12,it2_B018,0,benign,0,config_018/vfpga_c018_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/012_it2_B018.bin
13,it2_B019,0,benign,0,config_019/vfpga_c019_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/013_it2_B019.bin
14,it2_B023,0,benign,0,config_023/vfpga_c023_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/014_it2_B023.bin
15,it2_B033,0,benign,0,config_033/vfpga_c033_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/015_it2_B033.bin
16,it2_B034,0,benign,0,config_034/vfpga_c034_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/016_it2_B034.bin
17,it2_B036,0,benign,0,config_036/vfpga_c036_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/017_it2_B036.bin
18,it2_B040,0,benign,0,config_040/vfpga_c040_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/018_it2_B040.bin
19,it2_B042,0,benign,0,config_042/vfpga_c042_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/019_it2_B042.bin
20,it2_B050,0,benign,0,config_050/vfpga_c050_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/020_it2_B050.bin
21,it2_B066,0,benign,0,config_066/vfpga_c066_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/021_it2_B066.bin
22,it2_B067,0,benign,0,config_067/vfpga_c067_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/022_it2_B067.bin
23,it2_B072,0,benign,0,config_072/vfpga_c072_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/023_it2_B072.bin
24,it1_S007,1,standalone,10000,config_082/vfpga_c082_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/024_it1_S007.bin
25,it1_S010,1,standalone,16000,config_085/vfpga_c085_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/025_it1_S010.bin
26,it1_S014,1,standalone,22000,config_089/vfpga_c089_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/026_it1_S014.bin
27,it1_S021,1,standalone,8192,config_096/vfpga_c096_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/027_it1_S021.bin
28,it1_S041,1,standalone,18000,config_116/vfpga_c116_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/028_it1_S041.bin
29,it1_S043,1,standalone,20000,config_118/vfpga_c118_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/029_it1_S043.bin
30,it1_S044,1,standalone,22000,config_119/vfpga_c119_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/030_it1_S044.bin
31,it1_S051,1,standalone,8192,config_126/vfpga_c126_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/031_it1_S051.bin
32,it1_S053,1,standalone,12000,config_128/vfpga_c128_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/032_it1_S053.bin
33,it1_S070,1,standalone,16000,config_145/vfpga_c145_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/033_it1_S070.bin
34,it2_S001,1,standalone,9000,config_076/vfpga_c076_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/034_it2_S001.bin
35,it2_S010,1,standalone,18000,config_085/vfpga_c085_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/035_it2_S010.bin
36,it2_S011,1,standalone,19000,config_086/vfpga_c086_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/036_it2_S011.bin
37,it2_S012,1,standalone,20000,config_087/vfpga_c087_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/037_it2_S012.bin
38,it2_S021,1,standalone,14000,config_096/vfpga_c096_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/038_it2_S021.bin
39,it2_S025,1,standalone,18000,config_100/vfpga_c100_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/039_it2_S025.bin
40,it2_S027,1,standalone,20000,config_102/vfpga_c102_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/040_it2_S027.bin
41,it2_S028,1,standalone,21000,config_103/vfpga_c103_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/041_it2_S028.bin
42,it2_S037,1,standalone,15000,config_112/vfpga_c112_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/042_it2_S037.bin
43,it2_S038,1,standalone,16000,config_113/vfpga_c113_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/043_it2_S038.bin
44,it2_S039,1,standalone,17000,config_114/vfpga_c114_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/044_it2_S039.bin
45,it2_S055,1,standalone,18000,config_130/vfpga_c130_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/045_it2_S055.bin
46,it2_S063,1,standalone,11000,config_138/vfpga_c138_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/046_it2_S063.bin
47,it2_S069,1,standalone,17000,config_144/vfpga_c144_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_2/sample_blobs/047_it2_S069.bin
