batch_id,config_local,timing_status,wns,lut_count,ff_count,bram_count,dsp_count,bin_exists,bin_path
BENIGN_FP05,0,PASS,0.044,13718,24699,63.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_0/vfpga_c0_0.bin
BENIGN_FP05,1,PASS,0.044,20307,35141,78,32,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_1/vfpga_c1_0.bin
BENIGN_FP05,2,PASS,0.044,35538,26893,63.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_2/vfpga_c2_0.bin
BENIGN_FP05,3,FAIL,-0.05,11037,19271,50,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_3/vfpga_c3_0.bin
BENIGN_FP05,4,PASS,0.044,13734,22998,45,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_4/vfpga_c4_0.bin
BENIGN_FP05,5,PASS,0.044,26783,26897,55.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_5/vfpga_c5_0.bin
BENIGN_FP05,6,PASS,0.044,20799,35668,78,35,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_6/vfpga_c6_0.bin
BENIGN_FP05,7,PASS,0.044,20833,33842,78,15,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_7/vfpga_c7_0.bin
BENIGN_FP05,8,PASS,0.044,9580,16676,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_8/vfpga_c8_0.bin
BENIGN_FP05,9,PASS,0.044,13868,23647,34,32,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_9/vfpga_c9_0.bin
BENIGN_FP05,10,PASS,0.044,31149,18870,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_10/vfpga_c10_0.bin
BENIGN_FP05,11,PASS,0.044,8372,14331,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_11/vfpga_c11_0.bin
BENIGN_FP05,12,PASS,0.044,9850,17100,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_12/vfpga_c12_0.bin
BENIGN_FP05,13,PASS,0.044,20408,20785,39,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_13/vfpga_c13_0.bin
BENIGN_FP05,14,PASS,0.044,14360,24174,34,35,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP05/build_hw/bitstreams/config_14/vfpga_c14_0.bin
BENIGN_FP06,0,PASS,0.044,13718,24699,63.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_0/vfpga_c0_0.bin
BENIGN_FP06,1,PASS,0.044,20307,35141,78,32,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_1/vfpga_c1_0.bin
BENIGN_FP06,2,PASS,0.044,35538,26893,63.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_2/vfpga_c2_0.bin
BENIGN_FP06,3,PASS,0.044,11037,19271,50,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_3/vfpga_c3_0.bin
BENIGN_FP06,4,PASS,0.044,13734,22998,45,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_4/vfpga_c4_0.bin
BENIGN_FP06,5,PASS,0.044,26783,26897,55.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_5/vfpga_c5_0.bin
BENIGN_FP06,6,PASS,0.033,20799,35668,78,35,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_6/vfpga_c6_0.bin
BENIGN_FP06,7,PASS,0.044,20833,33842,78,15,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_7/vfpga_c7_0.bin
BENIGN_FP06,8,PASS,0.044,9580,16676,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_8/vfpga_c8_0.bin
BENIGN_FP06,9,PASS,0.044,13868,23647,34,32,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_9/vfpga_c9_0.bin
BENIGN_FP06,10,PASS,0.044,31149,18870,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_10/vfpga_c10_0.bin
BENIGN_FP06,11,PASS,0.022,8372,14331,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it2/builds/BENIGN_FP06/build_hw/bitstreams/config_11/vfpga_c11_0.bin
