sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4251.238
1,2496,2.4375,4263.341
2,2288,2.234375,4257.5
3,2048,2,4254.375
4,2272,2.21875,4263.843
5,3264,3.1875,4259.664
6,2816,2.75,4253.943
7,4032,3.9375,4268.12
8,3600,3.515625,4252.119
9,2064,2.015625,5283.389
10,3360,3.28125,4264.002
11,2576,2.515625,4272.488
12,2320,2.265625,4257.912
13,4208,4.109375,4255.476
14,3280,3.203125,4258.562
15,3696,3.609375,4262.399
16,3232,3.15625,5288.389
17,2784,2.71875,4262.209
18,2048,2,4269.092
19,3968,3.875,4255.737
20,3904,3.8125,4260.416
21,2880,2.8125,4252.721
22,1552,1.515625,4260.456
23,3408,3.328125,4257.28
24,4416,4.3125,4252.761
25,4624,4.515625,4260.706
26,6992,6.828125,4263.652
27,4640,4.53125,4264.102
28,5168,5.046875,4262.099
29,6272,6.125,4257.029
30,5888,5.75,4255.176
31,6256,6.109375,4261.027
32,4960,4.84375,4256.398
33,6800,6.640625,4269.463
34,7536,7.359375,4253.903
35,4128,4.03125,4259.774
36,5696,5.5625,4261.498
37,3792,3.703125,4256.979
38,5136,5.015625,5294.521
39,6192,6.046875,4261.007
40,3776,3.6875,4257.791
41,4368,4.265625,4256.037
42,4448,4.34375,4257.54
43,4896,4.78125,4247.371
44,5024,4.90625,5279.593
45,4432,4.328125,4261.698
46,5472,5.34375,4256.649
47,6992,6.828125,5289.441
