input_size,sweep_label,strategy_label,sweep_reuse_factor,layer,layer_index,actual_strategy,reuse_factor,config_name,module_name,latency_cycles_min,latency_cycles_max,interval_cycles_min,interval_cycles_max,latency_ms_min,latency_ms_max,interval_ms_min,interval_ms_max,bram_18k,dsp,ff,lut,lut_percent_xcu55c,uram,report_path,sweep_root
256,Latency RF1,Latency,1,conv0,0,Latency,1,config3,conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s,202803,202803,202800,202800,0.811212,0.811212,0.8112,0.8112,0,53,1950,5034,0.3861377025036819,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,conv1,1,Latency,1,config8,conv_2d_cl_array_ap_ufixed_8u_array_ap_fixed_24_11_5_3_0_16u_config8_s,17427,17427,17424,17424,0.069708,0.069708,0.069696,0.069696,0,0,5022,28682,2.2000797741777123,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/conv_2d_cl_array_ap_ufixed_8u_array_ap_fixed_24_11_5_3_0_16u_config8_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,conv2,2,Latency,1,config13,conv_2d_cl_array_array_ap_fixed_25_12_5_3_0_24u_config13_s,6939,6939,6936,6936,0.027756,0.027756,0.027744,0.027744,0,0,13710,73996,5.675932744231713,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_12_5_3_0_24u_config13_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,conv3,3,Latency,1,config18,conv_2d_cl_array_array_ap_fixed_25_13_5_3_0_24u_config18_s,1947,1947,1944,1944,0.007788,0.007788,0.007776,0.007776,0,0,20561,105273,8.075064432989691,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_13_5_3_0_24u_config18_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,conv4,4,Latency,1,config23,conv_2d_cl_array_array_ap_fixed_25_14_5_3_0_32u_config23_s,603,603,600,600,0.002412,0.002412,0.0024,0.0024,0,0,24248,131500,10.086831124202257,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_14_5_3_0_32u_config23_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,conv5,5,Resource,1,config28,conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config28_s,255,255,252,252,0.00102,0.00102,0.001008,0.001008,0,440,36304,146233,11.216939739813451,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config28_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,conv6,6,Resource,1,config33,conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config33_s,115,115,112,112,0.00046,0.00046,0.000448,0.000448,0,401,35630,145217,11.13900650466372,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config33_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Resource RF1,Resource,1,conv0,0,Resource,1,config3,conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s,405603,405603,405600,405600,1.622412,1.622412,1.6224,1.6224,0,53,3532,3849,0.29524116347569956,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource1_RFResource1_fold0_hls_db0d83b8_prj/solution1/syn/report/conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e
256,Resource RF1,Resource,1,conv1,1,Resource,1,config8,conv_2d_cl_array_ap_ufixed_8u_array_ap_fixed_24_11_5_3_0_16u_config8_s,30495,30495,30492,30492,0.12198,0.12198,0.121968,0.121968,0,184,7578,17985,1.3795563328424154,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource1_RFResource1_fold0_hls_db0d83b8_prj/solution1/syn/report/conv_2d_cl_array_ap_ufixed_8u_array_ap_fixed_24_11_5_3_0_16u_config8_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e
256,Resource RF1,Resource,1,conv2,2,Resource,1,config13,conv_2d_cl_array_array_ap_fixed_25_12_5_3_0_24u_config13_s,9251,9251,9248,9248,0.037004,0.037004,0.036992,0.036992,0,307,17001,56018,4.296913352970054,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource1_RFResource1_fold0_hls_db0d83b8_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_12_5_3_0_24u_config13_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e
