input_size,sweep_label,strategy_label,sweep_reuse_factor,module_group,layer,config_name,module_name,latency_cycles,latency_ms,lut,lut_percent_xcu55c,report_path,sweep_root
256,Latency RF1,Latency,1,Conv,conv0,config3,conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s,202803,0.811212,5034,0.3861377025036819,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Conv,conv1,config8,conv_2d_cl_array_ap_ufixed_8u_array_ap_fixed_24_11_5_3_0_16u_config8_s,17427,0.069708,28682,2.2000797741777123,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Conv,conv2,config13,conv_2d_cl_array_array_ap_fixed_25_12_5_3_0_24u_config13_s,6939,0.027756,73996,5.675932744231713,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Conv,conv3,config18,conv_2d_cl_array_array_ap_fixed_25_13_5_3_0_24u_config18_s,1947,0.007788,105273,8.075064432989691,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Conv,conv4,config23,conv_2d_cl_array_array_ap_fixed_25_14_5_3_0_32u_config23_s,603,0.002412,131500,10.086831124202257,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Conv,conv5,config28,conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config28_s,255,0.00102,146233,11.216939739813451,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Conv,conv6,config33,conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config33_s,115,0.00046,145217,11.13900650466372,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Padding,pad_conv0,config2,zeropad2d_cl_array_ap_fixed_1u_array_ap_fixed_16_6_5_3_0_1u_config2_s,70680,0.28272,582,0.044642857142857144,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Padding,pad_conv1,config7,zeropad2d_cl_array_ap_ufixed_8u_array_ap_ufixed_8_2_4_0_0_8u_config7_s,4367,0.017468,790,0.06059769268532155,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Padding,pad_conv2,config12,zeropad2d_cl_array_array_ap_ufixed_8_2_4_0_0_16u_config12_s,1167,0.004668,587,0.04502638684339715,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
