layer,alignment,shape_pt,shape_hls,pt_min,pt_max,pt_mean,hls_min,hls_max,hls_mean,mae,max_abs,mae_over_pt_range,sign_mismatch_frac,n
features_0,hwc_to_chw,"[8, 256, 256]","[256, 256, 8]",-1.021552562713623,1.6919916868209839,0.054049402475357056,-1.0216984748840332,1.6918131113052368,0.05386652052402496,0.0001828548702178523,0.0002393275499343872,6.738598871795712e-05,0.000255584716796875,524288
features_1,hwc_to_chw,"[8, 256, 256]","[256, 256, 8]",0.0,1.6919916868209839,0.1591397523880005,0.0,1.691802978515625,0.15909354388713837,4.6105011278996244e-05,0.00024469196796417236,2.7248958513277996e-05,0.0,524288
features_2,hwc_to_chw,"[8, 128, 128]","[128, 128, 8]",0.0,1.6919916868209839,0.19127357006072998,0.0,1.691802978515625,0.1911896914243698,8.392577728955075e-05,0.00024469196796417236,4.9601766925483875e-05,0.0,131072
features_3,hwc_to_chw,"[16, 128, 128]","[128, 128, 16]",-0.30591195821762085,0.9142597913742065,0.14730313420295715,-0.30602744221687317,0.9136812686920166,0.1471284180879593,0.00022451214317698032,0.0007393956184387207,0.00018400045257511156,0.000583648681640625,262144
features_4,hwc_to_chw,"[16, 128, 128]","[128, 128, 16]",0.0,0.9142597913742065,0.15960802137851715,0.0,0.9136810302734375,0.15946823358535767,0.00018482859013602138,0.0007475614547729492,0.0002021620023978185,0.0,262144
features_5,hwc_to_chw,"[16, 64, 64]","[64, 64, 16]",0.0,0.9142597913742065,0.19409817457199097,0.0,0.9136810302734375,0.19391341507434845,0.00021963586914353073,0.0007475614547729492,0.0002402335432617027,0.0,65536
features_6,hwc_to_chw,"[24, 64, 64]","[64, 64, 24]",-0.5560184121131897,2.8875701427459717,0.3368598222732544,-0.5559464693069458,2.884876012802124,0.3365696668624878,0.0008569406345486641,0.0027649402618408203,0.00024885105631221115,0.0009969075520833333,98304
features_7,hwc_to_chw,"[24, 64, 64]","[64, 64, 24]",0.0,2.8875701427459717,0.38793766498565674,0.0,2.8848724365234375,0.3876074254512787,0.0007570133893750608,0.002773761749267578,0.0002621627707561657,0.0,98304
features_8,hwc_to_chw,"[24, 32, 32]","[32, 32, 24]",0.0,2.8875701427459717,0.4459218978881836,0.0,2.8848724365234375,0.44553446769714355,0.0008402077364735305,0.002773761749267578,0.0002909739659776799,0.0,24576
features_9,hwc_to_chw,"[24, 32, 32]","[32, 32, 24]",-1.6809762716293335,12.142308235168457,1.2157434225082397,-1.6810276508331299,12.120478630065918,1.2130221128463745,0.0050275190733373165,0.022029876708984375,0.00036369932203406347,0.0009765625,24576
features_10,hwc_to_chw,"[24, 32, 32]","[32, 32, 24]",0.0,12.142308235168457,1.4139918088912964,0.0,12.120468139648438,1.4114388227462769,0.004487564321607351,0.02203369140625,0.00036958082719476385,0.0,24576
features_11,hwc_to_chw,"[24, 16, 16]","[16, 16, 24]",0.0,12.142308235168457,1.6361894607543945,0.0,12.120468139648438,1.6332979202270508,0.004888670984655619,0.02203369140625,0.00040261463388783716,0.0,6144
features_12,hwc_to_chw,"[32, 16, 16]","[16, 16, 32]",-17.35725212097168,22.8873233795166,1.346420407295227,-17.348474502563477,22.805356979370117,1.3253135681152344,0.02724047377705574,0.10641098022460938,0.0006768731795102482,0.0008544921875,8192
features_13,hwc_to_chw,"[32, 16, 16]","[16, 16, 32]",0.0,22.8873233795166,4.025821685791016,0.0,22.805343627929688,4.0088043212890625,0.021033959463238716,0.10641860961914062,0.0009190222515081609,0.0,8192
features_14,hwc_to_chw,"[32, 8, 8]","[8, 8, 32]",0.0,22.8873233795166,5.079429626464844,0.0,22.805343627929688,5.059391021728516,0.02409917488694191,0.10612106323242188,0.0010529485902449334,0.0,2048
gap,hwc_to_chw,"[32, 1, 1]","[1, 1, 32]",0.0,9.870162963867188,5.079429626464844,0.0,9.870880126953125,5.059384822845459,0.022151730954647064,0.05297279357910156,0.0022443125848823765,0.0,32
classifier,same,[1],[1],3.866668939590454,3.866668939590454,3.866668939590454,3.7456963062286377,3.7456963062286377,3.7456963062286377,0.1209726333618164,0.1209726333618164,120972633.36181639,0.0,1
