layer,alignment,shape_pt,shape_hls,pt_min,pt_max,pt_mean,hls_min,hls_max,hls_mean,mae,max_abs,mae_over_pt_range,sign_mismatch_frac,n
features_0,hwc_to_chw,"[8, 256, 256]","[256, 256, 8]",-1.021552562713623,1.6919916868209839,0.054049402475357056,-1.3095703125,1.3486328125,-0.3023167848587036,0.3563661575317383,0.45915746688842773,0.1313286643242545,0.11327552795410156,524288
features_1,hwc_to_chw,"[8, 256, 256]","[256, 256, 8]",0.0,1.6919916868209839,0.1591397523880005,0.0,1.34375,0.10057258605957031,0.05856715142726898,0.45751309394836426,0.03461432575789334,0.0,524288
features_2,hwc_to_chw,"[8, 128, 128]","[128, 128, 8]",0.0,1.6919916868209839,0.19127357006072998,0.0,1.34375,0.1132502555847168,0.07802335172891617,0.45751309394836426,0.04611331860353945,0.0,131072
features_3,hwc_to_chw,"[16, 128, 128]","[128, 128, 16]",-0.30591195821762085,0.9142597913742065,0.14730313420295715,-0.3515625,0.3369140625,-0.06533689051866531,0.21496990323066711,0.7172215580940247,0.1761800449844278,0.3433418273925781,262144
features_4,hwc_to_chw,"[16, 128, 128]","[128, 128, 16]",0.0,0.9142597913742065,0.15960802137851715,0.0,0.3125,0.04560649394989014,0.11546452343463898,0.7174457311630249,0.1262929033126202,0.0,262144
features_5,hwc_to_chw,"[16, 64, 64]","[64, 64, 16]",0.0,0.9142597913742065,0.19409817457199097,0.0,0.3125,0.05180025100708008,0.1426531970500946,0.7174457311630249,0.1560313582594235,0.0,65536
features_6,hwc_to_chw,"[24, 64, 64]","[64, 64, 24]",-0.5560184121131897,2.8875701427459717,0.3368598222732544,-0.3837890625,0.6064453125,0.001946737407706678,0.37976399064064026,2.3377654552459717,0.11028146689535614,0.33465576171875,98304
features_7,hwc_to_chw,"[24, 64, 64]","[64, 64, 24]",0.0,2.8875701427459717,0.38793766498565674,0.0,0.59375,0.08768144994974136,0.32142776250839233,2.3563201427459717,0.11131426999820912,0.0,98304
features_8,hwc_to_chw,"[24, 32, 32]","[32, 32, 24]",0.0,2.8875701427459717,0.4459218978881836,0.0,0.59375,0.09208806604146957,0.3656131327152252,2.3563201427459717,0.12661619099840835,0.0,24576
features_9,hwc_to_chw,"[24, 32, 32]","[32, 32, 24]",-1.6809762716293335,12.142308235168457,1.2157434225082397,-0.619140625,0.9853515625,-0.11268778890371323,1.5341531038284302,11.184300422668457,0.11098325747145658,0.3271891276041667,24576
features_10,hwc_to_chw,"[24, 32, 32]","[32, 32, 24]",0.0,12.142308235168457,1.4139918088912964,0.0,0.96875,0.15281422436237335,1.2907624244689941,11.204808235168457,0.10630288734809792,0.0,24576
features_11,hwc_to_chw,"[24, 16, 16]","[16, 16, 24]",0.0,12.142308235168457,1.6361894607543945,0.0,0.96875,0.1612904816865921,1.4909034967422485,11.204808235168457,0.12278583839801234,0.0,6144
features_12,hwc_to_chw,"[32, 16, 16]","[16, 16, 32]",-17.35725212097168,22.8873233795166,1.346420407295227,-2.2529296875,1.0166015625,-0.7835273742675781,6.368088245391846,24.4761905670166,0.1582346978741168,0.2415771484375,8192
features_13,hwc_to_chw,"[32, 16, 16]","[16, 16, 32]",0.0,22.8873233795166,4.025821685791016,0.0,1.0,0.19771194458007812,3.84049129486084,22.8873233795166,0.16779993148075814,0.0,8192
features_14,hwc_to_chw,"[32, 8, 8]","[8, 8, 32]",0.0,22.8873233795166,5.079429626464844,0.0,1.0,0.21612548828125,4.865022659301758,22.8873233795166,0.21256407219971352,0.0,2048
gap,hwc_to_chw,"[32, 1, 1]","[1, 1, 32]",0.0,9.870162963867188,5.079429626464844,0.0,0.96875,0.212890625,4.866539001464844,8.901412963867188,0.4930555877628697,0.0,32
classifier,same,[1],[1],3.866668939590454,3.866668939590454,3.866668939590454,-1.013671875,-1.013671875,-1.013671875,4.880340576171875,4.880340576171875,4880340576.171875,1.0,1
