sample_index,logit_fixed_raw,logit,latency_us
0,20422,19.943359375,2131.54
1,19589,19.1298828125,2128.956
2,17860,17.44140625,2128.895
3,17485,17.0751953125,2130.789
4,18859,18.4169921875,2130.779
5,19460,19.00390625,2129.356
6,18501,18.0673828125,2130.108
7,21112,20.6171875,2128.505
8,15911,15.5380859375,2130.789
9,17380,16.97265625,2128.915
10,23090,22.548828125,2131.861
11,17457,17.0478515625,2128.875
12,14484,14.14453125,2128.314
13,18951,18.5068359375,2129.046
14,15646,15.279296875,2128.334
15,19493,19.0361328125,2128.806
16,21340,20.83984375,2124.427
17,19361,18.9072265625,2128.404
18,18150,17.724609375,2128.544
19,18005,17.5830078125,2128.154
20,22095,21.5771484375,2127.753
21,18948,18.50390625,2128.564
22,20567,20.0849609375,2119.548
23,20556,20.07421875,2129.216
24,20994,20.501953125,2128.755
25,24966,24.380859375,2127.743
26,26621,25.9970703125,2129.496
27,20090,19.619140625,2129.206
28,23469,22.9189453125,2119.808
29,24604,24.02734375,2127.904
30,21973,21.4580078125,2100.742
31,23788,23.23046875,2127.673
32,23072,22.53125,2123.646
33,22234,21.712890625,2128.184
34,26574,25.951171875,2128.284
35,20088,19.6171875,2128.995
36,17137,16.7353515625,2132.171
37,19233,18.7822265625,2128.034
38,23692,23.13671875,2127.984
39,23421,22.8720703125,2129.537
40,16430,16.044921875,2128.164
41,21924,21.41015625,2128.615
42,24142,23.576171875,2128.615
43,23878,23.318359375,2127.954
44,20979,20.4873046875,2128.715
45,22952,22.4140625,2111.012
46,27678,27.029296875,2130.228
47,25319,24.7255859375,2123.024
