index,sample_id,class_label,class_name,ro_count,bitstream_path,blob_path
0,it1_B006,0,benign,0,config_006/vfpga_c006_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/000_it1_B006.bin
1,it1_B012,0,benign,0,config_012/vfpga_c012_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/001_it1_B012.bin
2,it1_B015,0,benign,0,config_015/vfpga_c015_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/002_it1_B015.bin
3,it1_B022,0,benign,0,config_022/vfpga_c022_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/003_it1_B022.bin
4,it1_B023,0,benign,0,config_023/vfpga_c023_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/004_it1_B023.bin
5,it1_B032,0,benign,0,config_032/vfpga_c032_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/005_it1_B032.bin
6,it1_B046,0,benign,0,config_046/vfpga_c046_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/006_it1_B046.bin
7,it1_B068,0,benign,0,config_068/vfpga_c068_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/007_it1_B068.bin
8,it2_B000,0,benign,0,config_000/vfpga_c000_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/008_it2_B000.bin
9,it2_B011,0,benign,0,config_011/vfpga_c011_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/009_it2_B011.bin
10,it2_B020,0,benign,0,config_020/vfpga_c020_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/010_it2_B020.bin
11,it2_B025,0,benign,0,config_025/vfpga_c025_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/011_it2_B025.bin
12,it2_B029,0,benign,0,config_029/vfpga_c029_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_4/sample_blobs/012_it2_B029.bin
