idx,label,pytorch_logit,hls_logit,abs_err,rel_err
0,0,-3.224043846130371,-8.865594863891602,5.6415510177612305,1.7498369398829516
1,0,-3.7005865573883057,-9.465298652648926,5.76471209526062,1.5577833421437584
2,0,-4.161770343780518,-9.71794319152832,5.556172847747803,1.3350503244493355
3,0,-2.1573808193206787,-8.763280868530273,6.605900049209595,3.061999990937936
4,0,-2.6252317428588867,-8.157011985778809,5.531780242919922,2.107158828155793
5,0,-1.4836920499801636,-7.794225692749023,6.31053364276886,4.253263770506305
6,0,-3.215212345123291,-8.911983489990234,5.696771144866943,1.7718180118049074
7,0,-0.06998072564601898,-6.769048690795898,6.6990679651498795,95.72732925113604
8,0,-2.7156431674957275,-8.990914344787598,6.27527117729187,2.310786355292293
9,0,-3.8942573070526123,-9.60167407989502,5.707416772842407,1.4655982701775023
10,0,-0.27022063732147217,-6.799861907958984,6.529641270637512,24.16411024473095
11,0,-2.0366082191467285,-8.086517333984375,6.0499091148376465,2.9705807223798586
12,0,-3.888655424118042,-9.302684783935547,5.414029359817505,1.3922625610484431
13,0,-0.029076680541038513,-7.218618392944336,7.189541712403297,247.26143351391352
14,0,-2.9131550788879395,-8.647634506225586,5.7344794273376465,1.9684772255676524
15,0,-1.499026894569397,-8.282224655151367,6.78319776058197,4.525067418840726
16,0,-1.7037020921707153,-8.257444381713867,6.553742289543152,3.846765417299523
17,0,-3.2734415531158447,-9.094837188720703,5.821395635604858,1.7783716437715922
18,0,-3.3548738956451416,-9.50346851348877,6.148594617843628,1.8327349429809952
19,0,-2.378345251083374,-8.560839653015137,6.182494401931763,2.5994940806493667
20,0,-1.0739620923995972,-7.655124664306641,6.5811625719070435,6.127928181526858
21,0,-2.4119415283203125,-8.472247123718262,6.060305595397949,2.5126254199115574
22,0,-4.910600662231445,-10.4044828414917,5.493882179260254,1.118780075422333
23,0,-1.0782688856124878,-7.902187347412109,6.823918461799622,6.32858700909601
24,1,3.8666694164276123,-2.9971723556518555,6.863841772079468,1.7751302304040568
25,1,3.5311813354492188,-3.1787796020507812,6.7099609375,1.9002028783226996
26,1,6.1756439208984375,-0.24106407165527344,6.416707992553711,1.0390346455759067
27,1,1.910878300666809,-5.075963020324707,6.986841320991516,3.65635075690243
28,1,3.6811349391937256,-3.4389476776123047,7.12008261680603,1.9342085347095517
29,1,5.82980489730835,-1.457448959350586,7.2872538566589355,1.24999961148331
30,1,4.634688377380371,-2.563279151916504,7.197967529296875,1.553063969613708
31,1,5.1116943359375,-1.9662399291992188,7.077934265136719,1.384655223880597
32,1,4.822103977203369,-2.230685234069824,7.052789211273193,1.4625958387905882
33,1,5.880146026611328,-1.4715089797973633,7.351655006408691,1.250250414383906
34,1,8.069655418395996,0.1815357208251953,7.888119697570801,0.9775039067453417
35,1,0.8991652727127075,-5.1937456130981445,6.092910885810852,6.776185725488532
36,1,2.8050119876861572,-5.761920928955078,8.566932916641235,3.0541519801874584
37,1,-0.35028064250946045,-7.305689811706543,6.9554091691970825,19.856675833890048
38,1,3.835543394088745,-3.5867156982421875,7.422259092330933,1.9351258295682314
39,1,5.672516822814941,-1.8596429824829102,7.532159805297852,1.3278338417619848
40,1,0.23302902281284332,-6.839295387268066,7.07232441008091,30.349543265952025
41,1,2.630345106124878,-4.271771430969238,6.902116537094116,2.624034588093488
42,1,1.3352593183517456,-5.861594200134277,7.196853518486023,5.3898545545219445
43,1,2.4161689281463623,-4.898889541625977,7.315058469772339,3.027544301459215
44,1,2.033583164215088,-5.218138694763184,7.2517218589782715,3.5659824425116415
45,1,2.99334979057312,-3.7553768157958984,6.7487266063690186,2.2545733303948006
46,1,4.4481048583984375,-2.2253856658935547,6.673490524291992,1.5002997313995012
47,1,6.003019332885742,-0.5560398101806641,6.559059143066406,1.092626689894961
