idx,label,keras_logit,hls_logit,abs_err,rel_err
0,0,-0.0107421875,0.0,0.0107421875,1.0
1,0,-0.001953125,0.0,0.001953125,1.0
2,0,0.013671875,0.0,0.013671875,1.0
3,0,-0.015625,0.0,0.015625,1.0
4,0,-0.0185546875,0.0,0.0185546875,1.0
5,0,0.0,0.0,0.0,0.0
6,0,0.0146484375,0.0,0.0146484375,1.0
7,0,-0.0048828125,0.0,0.0048828125,1.0
8,0,0.01171875,0.0,0.01171875,1.0
9,0,0.017578125,0.0,0.017578125,1.0
10,0,-0.0048828125,0.0,0.0048828125,1.0
11,0,0.0,0.0,0.0,0.0
12,0,-0.001953125,0.0,0.001953125,1.0
13,0,0.0166015625,0.0,0.0166015625,1.0
14,0,-0.013671875,0.0,0.013671875,1.0
15,0,0.033203125,0.0,0.033203125,1.0
16,0,0.009765625,0.0,0.009765625,1.0
17,0,-0.00390625,0.0,0.00390625,1.0
18,0,-0.0029296875,0.0,0.0029296875,1.0
19,0,0.0166015625,0.0,0.0166015625,1.0
20,0,0.0009765625,0.0,0.0009765625,1.0
21,0,-0.0087890625,0.0,0.0087890625,1.0
22,0,-0.0244140625,0.0,0.0244140625,1.0
23,0,0.017578125,0.0,0.017578125,1.0
24,1,0.0166015625,0.0,0.0166015625,1.0
25,1,0.001953125,0.0,0.001953125,1.0
26,1,0.0029296875,0.0,0.0029296875,1.0
27,1,0.0078125,0.0,0.0078125,1.0
28,1,0.001953125,0.0,0.001953125,1.0
29,1,-0.0078125,0.0,0.0078125,1.0
30,1,0.0048828125,0.0,0.0048828125,1.0
31,1,0.0185546875,0.0,0.0185546875,1.0
32,1,0.0009765625,0.0,0.0009765625,1.0
33,1,0.0146484375,0.0,0.0146484375,1.0
34,1,0.0185546875,0.0,0.0185546875,1.0
35,1,0.0068359375,0.0,0.0068359375,1.0
36,1,0.0126953125,0.0,0.0126953125,1.0
37,1,0.00390625,0.0,0.00390625,1.0
38,1,0.0029296875,0.0,0.0029296875,1.0
39,1,0.0234375,0.0,0.0234375,1.0
40,1,0.0185546875,0.0,0.0185546875,1.0
41,1,-0.0087890625,0.0,0.0087890625,1.0
42,1,-0.0078125,0.0,0.0078125,1.0
43,1,0.0234375,0.0,0.0234375,1.0
44,1,0.0009765625,0.0,0.0009765625,1.0
45,1,-0.0009765625,0.0,0.0009765625,1.0
46,1,0.009765625,0.0,0.009765625,1.0
47,1,0.015625,0.0,0.015625,1.0
