model,experiment_name,reuse_factor,latency,LUT,FF,BRAM,DSP,software_accuracy,software_auc,keras_hls4ml_prediction_agreement
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF1,1,202814,550498,140473,193,455,0.8907563025210085,0.9635618953463738,0.9791666666666666
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF2,2,202814,551688,210022,201,2610,0.8907563025210085,0.9635618953463738,0.9791666666666666
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF4,4,270412,480508,161915,201,1305,0.8907563025210085,0.9635618953463738,0.9791666666666666
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF8,8,473209,433611,140574,201,653,0.8907563025210085,0.9635618953463738,0.9791666666666666
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF16,16,743609,399861,132792,201,327,0.8907563025210085,0.9635618953463738,0.9791666666666666
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF32,32,1081609,380490,137196,201,164,0.8907563025210085,0.9635618953463738,0.9791666666666666
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF1,1,202814,701645,181479,193,894,0.9453781512605042,0.9835463597203588,0.9583333333333334
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF2,2,202814,712599,324810,209,5166,0.9453781512605042,0.9835463597203588,0.9583333333333334
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF4,4,270413,572761,227871,209,2583,0.9453781512605042,0.9835463597203588,0.9583333333333334
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF8,8,540809,490093,182587,209,1292,0.9453781512605042,0.9835463597203588,0.9583333333333334
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF16,16,743609,438312,163508,209,647,0.9453781512605042,0.9835463597203588,0.9583333333333334
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF32,32,1149209,410496,161393,209,324,0.9453781512605042,0.9835463597203588,0.9583333333333334
