epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_ece,val_roc_auc,val_pr_auc,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,val_benign_mean_score,val_standalone_mean_score,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_roc_auc,aug_val_pr_auc,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1,aug_val_benign_mean_score,aug_val_standalone_mean_score
1,0.7102314233779907,0.6941037215710043,0.6941037262307775,0.7265571872361088,0.6616502652254465,0.25047774771932435,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.01621156930923462,0.4348958333333333,0.44145630406009406,0.5142783522605896,0.5833333333333334,0.696969696969697,0.5164223313331604,0.5160009264945984,0.6943766609687231,0.6943766574668553,0.7244709882486943,0.6642823266850164,0.25061431355648606,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.015031576156616211,0.3949652777777778,0.4745817275631466,0.5185461640357971,0.5208333333333334,0.08,0.5154164433479309,0.514646589756012
2,0.6941735744476318,0.6942320720029403,0.6942320715823153,0.7318068597717292,0.6566572833929015,0.2505417708703978,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.01876932382583618,0.4392361111111111,0.44107672891890776,0.5178146958351135,0.6041666666666666,0.6666666666666666,0.5189545750617981,0.5185840725898743,0.6945377281166624,0.6945377255796404,0.7302227731645387,0.6588526779947422,0.2506946283924867,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.017822086811065674,0.36545138888888884,0.4818573086157348,0.5215930342674255,0.5416666666666666,0.15384615384615385,0.5181954503059387,0.5174486637115479
3,0.694212794303894,0.6940365665583806,0.6940365737259366,0.7289473989595067,0.6591257484923667,0.2504442617832086,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.017442286014556885,0.4609375,0.459667543523836,0.5165954828262329,0.5625,0.631578947368421,0.5175781846046448,0.5173065066337585,0.6945056534922475,0.694505650179039,0.7278855694469062,0.6611257309111718,0.2506786967016404,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.016671359539031982,0.3776041666666667,0.4927981123374615,0.5196431875228882,0.5625,0.27586206896551724,0.5170677304267883,0.5162749886512756
4,0.6941629648208618,0.6938036748198456,0.6938036795887541,0.7208842252773807,0.6667231339001276,0.2503280350100776,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.01353234052658081,0.45138888888888895,0.46717763542446183,0.5102524757385254,0.5416666666666666,0.6764705882352942,0.5136733055114746,0.5133913159370422,0.6942837904077672,0.6942837939716165,0.7200028594633574,0.6685647284798759,0.2505680387829939,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.012847423553466797,0.36545138888888895,0.5015733201582531,0.5151931047439575,0.5625,0.3225806451612903,0.513246476650238,0.5124483108520508
5,0.709600567817688,0.6936978927166985,0.6936978873680918,0.7318250085707412,0.6555707661654425,0.25027511359473015,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.019056379795074463,0.5564236111111112,0.5157513527029975,0.5176318287849426,0.625,0.71875,0.5189648270606995,0.5191478729248047,0.6938365121371118,0.6938365030313095,0.7307811311260607,0.6568918749365579,0.2503444867183014,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.018464624881744385,0.501736111111111,0.5626715355135181,0.5210446715354919,0.5625,0.3225806451612903,0.5184647440910339,0.5184645652770996
6,0.6943389773368835,0.6936831642144745,0.6936831583749892,0.7266991752612609,0.6606671414887176,0.25026778309635683,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.016501247882843018,0.5208333333333334,0.5054522080884842,0.5149491429328918,0.5833333333333334,0.696969696969697,0.516493558883667,0.5165088772773743,0.6935483879546975,0.6935483818768745,0.7253875224148935,0.6617092413388559,0.250200596180345,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.01591700315475464,0.5147569444444444,0.6103319978923188,0.5182414054870605,0.5833333333333334,0.3333333333333333,0.5158611536026001,0.5159727931022644
7,0.6990775465965271,0.6936844643900049,0.6936844652728045,0.7320522918517147,0.6553166386938939,0.25026841171712916,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.019176959991455078,0.552951388888889,0.5148528397228497,0.5176928043365479,0.6458333333333334,0.7301587301587301,0.519074022769928,0.5192798972129822,0.6938305941081963,0.693830591814792,0.7310974792370081,0.6565637043925757,0.25034153789046404,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.018625915050506592,0.5052083333333334,0.5650012788110034,0.5212883949279785,0.5625,0.3225806451612903,0.5186170935630798,0.5186347365379333
8,0.6970503926277161,0.6930227110278881,0.6930227162983366,0.7138906124577593,0.672154820138914,0.24993784778578543,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.010436594486236572,0.568576388888889,0.5955705085485441,0.5112895965576172,0.625,0.55,0.5102625489234924,0.5106107592582703,0.6940160885050295,0.6940160806589303,0.7151243828857184,0.6729077784321423,0.25043428216018554,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.010545909404754639,0.4001736111111111,0.4674577983807993,0.5156809091567993,0.5208333333333334,0.08,0.5108649730682373,0.510226845741272
9,0.6947671175003052,0.695538660174245,0.6955386642632441,0.728873911268708,0.6622034172577801,0.2511946266179285,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.016632020473480225,0.2743055555555556,0.40268184633764553,0.5190337896347046,0.5,0.2,0.5175452828407288,0.5157186985015869,0.6936703681235278,0.693670376246618,0.7270690590576122,0.6602716934356238,0.2502615002024127,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.016694307327270508,0.53125,0.5562108385499749,0.5181804299354553,0.5833333333333334,0.4117647058823529,0.5166741013526917,0.5167146325111389
10,0.6962514519691467,0.6950617088302152,0.6950616983029003,0.665155205399433,0.7249681912063677,0.25095643986500427,0.5,0.5,0.0,0.0,0.0,0.0,0.014925986528396606,0.2890625,0.3887623544157509,0.47865068912506104,0.5,0.6666666666666666,0.48580315709114075,0.48434481024742126,0.6936411058825788,0.6936411113278128,0.6650667116241428,0.7222155110314832,0.25024683867465,0.5,0.5,0.0,0.0,0.0,0.0,0.01428195834159851,0.4887152777777778,0.5135486628737119,0.4873684048652649,0.5625,0.36363636363636365,0.485757440328598,0.48567864298820496
11,0.6951901912689209,0.694659283174203,0.6946592855912418,0.6677280454798226,0.7215905257026609,0.2507555020201931,0.5,0.5,0.0,0.0,0.0,0.0,0.013445854187011719,0.3411458333333333,0.4322570278708,0.489686518907547,0.5,0.07692307692307693,0.48712459206581116,0.48598363995552063,0.6939413930546339,0.6939413941530335,0.6673609412615621,0.7205218470445048,0.25039685836832626,0.5,0.5,0.0,0.0,0.0,0.0,0.013280749320983887,0.42708333333333337,0.4861954546174751,0.48724642395973206,0.5208333333333334,0.46511627906976744,0.4869364798069,0.4865019619464874
12,0.7035700678825378,0.6957623866437643,0.6957623841881428,0.7696547181111573,0.6218700502651285,0.25130430016486266,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.0368838906288147,0.515625,0.6023012327788106,0.5386798977851868,0.6041666666666666,0.45714285714285713,0.5368233919143677,0.5369444489479065,0.6943640614961145,0.6943640656086941,0.7673690448617597,0.6213590863556284,0.2506087720783885,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.03649061918258667,0.7048611111111112,0.7161208115702432,0.5360700488090515,0.6875,0.7272727272727273,0.5357634425163269,0.5372177958488464
13,0.6963131427764893,0.6961779261528028,0.696177935508719,0.7164204910258642,0.6759353799915738,0.25151471796002234,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.010090649127960205,0.2152777777777778,0.37462749525747513,0.5041502714157104,0.5,0.6666666666666666,0.5114951729774475,0.5086862444877625,0.6948934403306061,0.69489344561199,0.7131212699147013,0.6766656213092785,0.25087277044498896,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.009096682071685791,0.3524305555555555,0.42375926989947627,0.5042723417282104,0.5208333333333334,0.676056338028169,0.509878396987915,0.5083150863647461
