_bitstream_dir,_dataset_id,app_id,app_name,batch_id,bitstream_path,bram_count,class_label,class_name,config_global,config_local,dsp_count,ff_count,file_hash,floorplan_id,lut_count,notes,ro_count,sample_id,shell_id,source_type,timing_status,tool_version,validation_status,variant_id
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A01,hello_world,BENIGN_FP00,config_000/vfpga_c000_0.bin,0,0,benign,0,0,0,0,c1229c14be0340c175debbf0918ab313b9ededd1d478ca93a443a9efe5803185,FP00,0,,0,it1_B000,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A04,user_interrupts,BENIGN_FP00,config_003/vfpga_c003_0.bin,0,0,benign,3,3,0,0,ea2b8e9013a38014275bd94c544f63547a60c2e352100eeea9fb05542207d010,FP00,0,,0,it1_B003,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A05,perf_fpga,BENIGN_FP00,config_004/vfpga_c004_0.bin,0,0,benign,4,4,0,0,6e29e4dea2b787d3bf245347a9a78557a4ee8ed7e0640b93b369a3ad9ba445d9,FP00,0,,0,it1_B004,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A06,multithreading_aes,BENIGN_FP00,config_005/vfpga_c005_0.bin,0,0,benign,5,5,0,0,cc1671dd7219d471353d9284fc4c1380c6dfcc39b49f75019b6735fded01434c,FP00,0,,0,it1_B005,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A07,euclidean,BENIGN_FP00,config_006/vfpga_c006_0.bin,0,0,benign,6,6,0,0,b74416094a17626a0972bd007b68d9d2ad23cd733d18ada77ae2f79ec60e6658,FP00,0,,0,it1_B006,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A08,cosine,BENIGN_FP00,config_007/vfpga_c007_0.bin,0,0,benign,7,7,0,0,42e8312579565435e77aca91b145c42bc5fd99395b8e739d8722b8eec50b8a3e,FP00,0,,0,it1_B007,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,V01,hello_world_nodbg,BENIGN_FP00,config_008/vfpga_c008_0.bin,0,0,benign,8,8,0,0,dabfe1c589d1d8432d0942a67b0529812f9a945cf774ed06bc1ccf2a304cef92,FP00,0,,0,it1_B008,0ef56b64,nodbg,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,V04,user_interrupts_nodbg,BENIGN_FP00,config_011/vfpga_c011_0.bin,0,0,benign,11,11,0,0,c589e0a70ff7bbb5772a1eb641603d19cc3563613cca7d35faee23599e33410f,FP00,0,,0,it1_B011,0ef56b64,nodbg,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,V05,perf_fpga_nodbg,BENIGN_FP00,config_012/vfpga_c012_0.bin,0,0,benign,12,12,0,0,afc9b9da0d5e502df0a60c2f8783963ef78747619be8cfca1d7d5fdaf9678a66,FP00,0,,0,it1_B012,0ef56b64,nodbg,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,V06,multithreading_aes_nodbg,BENIGN_FP00,config_013/vfpga_c013_0.bin,0,0,benign,13,13,0,0,741f3eea9b21cab512a881eae2544137205ce181ada581552dce6488e8d622b4,FP00,0,,0,it1_B013,0ef56b64,nodbg,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A01,hello_world,BENIGN_FP01,config_015/vfpga_c015_0.bin,0,0,benign,15,0,0,0,11bc32a739670f5986c3aa3b817a8c3d37fb47ecbbeec310b401717192134a9b,FP01,0,,0,it1_B015,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A02,hls_vadd,BENIGN_FP01,config_016/vfpga_c016_0.bin,0,0,benign,16,1,0,0,31ea98ff5c28aaeecdf8dfeb5b98f5b1e7f49754c044178ae14762a4beb48048,FP01,0,,0,it1_B016,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A03,multitenancy_aes,BENIGN_FP01,config_017/vfpga_c017_0.bin,0,0,benign,17,2,0,0,aa6bca786401dd7033e305bd047dedd0478f5393dc497370a0e6aa3ac27c45c5,FP01,0,,0,it1_B017,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A05,perf_fpga,BENIGN_FP01,config_019/vfpga_c019_0.bin,0,0,benign,19,4,0,0,8bc77abb285054838521a9fb6f4f5d078673cc5f21315432ba2087f894ba75cd,FP01,0,,0,it1_B019,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,A08,cosine,BENIGN_FP01,config_022/vfpga_c022_0.bin,0,0,benign,22,7,0,0,8684bf67b570ed79f7017e1d7ab5e382f495efda341d2fdb3bdaaeeb480b7223,FP01,0,,0,it1_B022,0ef56b64,base,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,V01,hello_world_nodbg,BENIGN_FP01,config_023/vfpga_c023_0.bin,0,0,benign,23,8,0,0,d902637113490b07dc28137dadb254db87cf5c1836447ce05b933c39e2c7e69a,FP01,0,,0,it1_B023,0ef56b64,nodbg,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,V02,hls_vadd_nodbg,BENIGN_FP01,config_024/vfpga_c024_0.bin,0,0,benign,24,9,0,0,9e3bdcd216a27799de782c47d9c7971121bbe0fcdf852c0957a5aa51b03cb71e,FP01,0,,0,it1_B024,0ef56b64,nodbg,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,V03,multitenancy_aes_nodbg,BENIGN_FP01,config_025/vfpga_c025_0.bin,0,0,benign,25,10,0,0,2d0d485b3c5d1991ade62be92dbbf7a28e12f12d0c7834d4df234b58afd42eaa,FP01,0,,0,it1_B025,0ef56b64,nodbg,PENDING,Vivado v.2024.2,PENDING,benign
/home/sdeheredia/coyote_vault_work/full_dataset_it1_2026-04-01_production/bitstreams,it1,V05,perf_fpga_nodbg,BENIGN_FP01,config_027/vfpga_c027_0.bin,0,0,benign,27,12,0,0,e84994793a9c4c4820f53215bf46eacf54907218992c933022d07e1ba12ca2ba,FP01,0,,0,it1_B027,0ef56b64,nodbg,PENDING,Vivado v.2024.2,PENDING,benign
