model,experiment_name,reuse_factor,latency_cycles,latency_ms_5ns,LUT,LUT_total,LUT_pct,FF,FF_total,FF_pct,BRAM,BRAM_total,BRAM_pct,DSP,DSP_total,DSP_pct
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF1,1,202814,1.01407,550498,1303680,42.2264666,140473,2607360,5.38755676,193,4032,4.78670635,455,9024,5.04210993
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF2,2,202814,1.01407,551688,1303680,42.3177467,210022,2607360,8.05496748,201,4032,4.98511905,2610,9024,28.9228723
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF4,4,270412,1.35206,480508,1303680,36.8578179,161915,2607360,6.20992115,201,4032,4.98511905,1305,9024,14.4614362
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF8,8,473209,2.366045,433611,1303680,33.2605394,140574,2607360,5.39143041,201,4032,4.98511905,653,9024,7.23625887
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF16,16,743609,3.718045,399861,1303680,30.6717139,132792,2607360,5.0929676,201,4032,4.98511905,327,9024,3.62367021
res256_layers6_W8A8_P50,res256_layers6_W8A8_P50_RF32,32,1081609,5.408045,380490,1303680,29.1858432,137196,2607360,5.26187408,201,4032,4.98511905,164,9024,1.81737589
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF1,1,202814,1.01407,701645,1303680,53.8203393,181479,2607360,6.96025865,193,4032,4.78670635,894,9024,9.90691489
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF2,2,202814,1.01407,712599,1303680,54.6605762,324810,2607360,12.4574282,209,4032,5.18353175,5166,9024,57.2473404
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF4,4,270413,1.352065,572761,1303680,43.934171,227871,2607360,8.73952964,209,4032,5.18353175,2583,9024,28.6236702
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF8,8,540809,2.704045,490093,1303680,37.5930443,182587,2607360,7.00275374,209,4032,5.18353175,1292,9024,14.3173759
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF16,16,743609,3.718045,438312,1303680,33.621134,163508,2607360,6.27101743,209,4032,5.18353175,647,9024,7.1697695
res256_layers7_W8A8_P50,res256_layers7_W8A8_P50_RF32,32,1149209,5.746045,410496,1303680,31.4874816,161393,2607360,6.1899009,209,4032,5.18353175,324,9024,3.59042553
