sample_index,logit_fixed_raw,logit,latency_us
0,-3120,-3.046875,4259.343
1,-3120,-3.046875,4300.952
2,-3120,-3.046875,4258.772
3,-3120,-3.046875,4263.021
4,-3120,-3.046875,4269.883
5,-3264,-3.1875,4242.452
6,-3120,-3.046875,4264.694
7,-3120,-3.046875,4261.959
8,-3120,-3.046875,4258.122
9,-3120,-3.046875,4260.867
10,-3120,-3.046875,4255.035
11,-3120,-3.046875,4263.662
12,-3120,-3.046875,4259.444
13,-3120,-3.046875,4261.698
14,-3120,-3.046875,4259.233
15,-3120,-3.046875,5284.592
16,-3120,-3.046875,4261.989
17,-3120,-3.046875,4261.738
18,-3120,-3.046875,4262.45
19,-3120,-3.046875,4260.185
20,-3120,-3.046875,4257.16
21,-3120,-3.046875,4262.469
22,-3120,-3.046875,4263.382
23,-3120,-3.046875,4263.361
24,-3120,-3.046875,4266.076
25,-3120,-3.046875,4258.662
26,-3120,-3.046875,4254.425
27,-3120,-3.046875,4262.87
28,-3120,-3.046875,4240.808
29,-3120,-3.046875,4256.869
30,-3120,-3.046875,4259.684
31,-3120,-3.046875,4259.874
32,-3120,-3.046875,4256.358
33,-3120,-3.046875,4256.729
34,-3120,-3.046875,4259.313
35,-3120,-3.046875,4264.193
36,-3120,-3.046875,4250.677
37,-3120,-3.046875,4257.46
38,-3120,-3.046875,4262.61
39,-3120,-3.046875,4258.642
40,-3120,-3.046875,5289.361
41,-3120,-3.046875,4260.014
42,-3120,-3.046875,4238.474
43,-3264,-3.1875,4260.585
44,-3120,-3.046875,4264.443
45,-3120,-3.046875,4252.871
46,-3120,-3.046875,5282.819
47,-3120,-3.046875,4258.011
