sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4256.157
1,2320,2.265625,4262.97
2,2496,2.4375,4299.54
3,3376,3.296875,4266.547
4,3216,3.140625,4288.539
5,3056,2.984375,4266.727
6,3216,3.140625,4264.513
7,4192,4.09375,5292.948
8,3696,3.609375,4263.301
9,2656,2.59375,4264.703
10,3968,3.875,4259.934
11,3296,3.21875,4265.896
12,2480,2.421875,4267.388
13,3936,3.84375,5300.301
14,3632,3.546875,4264.273
15,3792,3.703125,4235.548
16,3536,3.453125,4261.668
17,2784,2.71875,4267.949
18,2048,2,4248.774
19,3904,3.8125,4262.309
20,3904,3.8125,4270.525
21,2368,2.3125,4259.454
22,1472,1.4375,4266.838
23,3696,3.609375,4254.444
24,4768,4.65625,4248.433
25,4512,4.40625,4262.96
26,6992,6.828125,4258.161
27,4592,4.484375,4263.481
28,4800,4.6875,4240.437
29,6224,6.078125,4257.941
30,5920,5.78125,4259.413
31,5648,5.515625,4265.625
32,4896,4.78125,4240.107
33,7440,7.265625,4262.47
34,8016,7.828125,4265.626
35,4208,4.109375,5294.3
36,5984,5.84375,4264.052
37,4368,4.265625,4260.446
38,5216,5.09375,4258.632
39,6192,6.046875,4262.059
40,3776,3.6875,4259.043
41,4992,4.875,4264.874
42,4624,4.515625,4265.685
43,5040,4.921875,4240.478
44,4624,4.515625,4258.883
45,4256,4.15625,4258.682
46,5760,5.625,4251.208
47,6944,6.78125,4265.876
