idx,label,keras_logit,hls_logit,abs_err,rel_err
0,0,-3.7702443599700928,-6.21364688873291,2.4434025287628174,0.6480753753537077
1,0,-5.571640491485596,-7.461088180541992,1.8894476890563965,0.3391187374605003
2,0,-5.217462539672852,-7.1526336669921875,1.935171127319336,0.3709027353056331
3,0,-3.5375406742095947,-6.062699317932129,2.525158643722534,0.7138175575286465
4,0,-9.479981422424316,-10.025121688842773,0.545140266418457,0.05750436020148321
5,0,-10.787625312805176,-11.339244842529297,0.5516195297241211,0.05113447248388718
6,0,-9.879582405090332,-10.41100788116455,0.5314254760742188,0.053790277188275525
7,0,-6.651007175445557,-8.483979225158691,1.8329720497131348,0.27559315474506946
8,0,-10.222050666809082,-10.671148300170898,0.4490976333618164,0.0439342014631206
9,0,-6.347164630889893,-8.245794296264648,1.8986296653747559,0.2991303638375238
10,0,-3.189173460006714,-5.767938613891602,2.5787651538848877,0.8085998413769124
11,0,-4.037525177001953,-6.298530578613281,2.261005401611328,0.5599978458314476
12,0,-4.1142096519470215,-6.521271705627441,2.40706205368042,0.585060620948496
13,0,-1.1454827785491943,-4.732320785522461,3.5868380069732666,3.13128933419336
14,0,-9.589245796203613,-10.356047630310059,0.7668018341064453,0.07996476995198334
15,0,-3.617154836654663,-6.519247055053711,2.902092218399048,0.802313516963807
16,0,-5.458189964294434,-7.858644485473633,2.400454521179199,0.43978947909144456
17,0,-8.356215476989746,-9.560225486755371,1.204010009765625,0.14408556278629606
18,0,-5.326846599578857,-7.470890998840332,2.1440443992614746,0.4024978679564348
19,0,-2.2228035926818848,-5.3614501953125,3.1386466026306152,1.412021562752531
20,0,-2.440237522125244,-5.316798210144043,2.876560688018799,1.1788035639717374
21,0,-4.999946594238281,-7.2228240966796875,2.2228775024414062,0.4445802491176511
22,0,-4.072899341583252,-6.490020751953125,2.417121410369873,0.5934645586969672
23,0,-3.292445659637451,-5.599325180053711,2.3068795204162598,0.7006583430355788
24,1,3.8097879886627197,0.3636932373046875,3.4460947513580322,0.904537145272394
25,1,5.114424705505371,1.5958242416381836,3.5186004638671875,0.6879758069523685
26,1,7.739599704742432,4.49465274810791,3.2449469566345215,0.4192654763070219
27,1,2.1965253353118896,-1.0851106643676758,3.2816359996795654,1.494012359849971
28,1,3.3309881687164307,0.1324176788330078,3.198570489883423,0.9602467279599993
29,1,9.55886173248291,5.24852180480957,4.31033992767334,0.450926067172407
30,1,6.321948051452637,2.8110456466674805,3.5109024047851562,0.5553513531289509
31,1,7.791162014007568,3.57822322845459,4.2129387855529785,0.5407330482896676
32,1,5.252769470214844,1.8017864227294922,3.4509830474853516,0.6569835335538156
33,1,8.177395820617676,4.125906944274902,4.051488876342773,0.4954497697332628
34,1,12.079440116882324,7.3314409255981445,4.74799919128418,0.39306450839955215
35,1,5.2830610275268555,1.2404241561889648,4.042636871337891,0.7652073012736631
36,1,7.898688793182373,2.8507518768310547,5.047936916351318,0.6390854290535366
37,1,-1.9330095052719116,-5.443136215209961,3.5101265907287598,1.815886875442446
38,1,5.356174468994141,0.8929882049560547,4.463186264038086,0.833278730906659
39,1,8.396557807922363,3.697294235229492,4.699263572692871,0.5596654819977537
40,1,4.704145431518555,1.1626739501953125,3.541471481323242,0.752840560071718
41,1,1.5569138526916504,-1.9789552688598633,3.5358691215515137,2.271075638153371
42,1,5.073840141296387,1.458765983581543,3.6150741577148438,0.7124927189352043
43,1,5.426997661590576,1.732630729675293,3.694366931915283,0.6807386260845589
44,1,7.693944931030273,3.848634719848633,3.8453102111816406,0.49978395292032934
45,1,3.5584936141967773,0.31793880462646484,3.2405548095703125,0.9106535407684777
46,1,6.337743759155273,2.7883052825927734,3.5494384765625,0.5600476465201217
47,1,8.785109519958496,5.411263465881348,3.3738460540771484,0.3840414335657693
