sample_index,logit_fixed_raw,logit,magic,frame_counter,input_beats,tlast_count,first_tlast_beat,last_tlast_beat,early_tlast,missing_tlast,keep_error_count,full_sum_raw,weighted_sum_raw,first_lane0_raw,last_lane0_raw,latency_us
21,8789,8.5830078125,17986,241,2048,1,2047,2047,0,0,0,30364,47780,766,1024,3194.981
44,12287,11.9990234375,17986,242,2048,1,2047,2047,0,0,0,12485,3315,1024,1024,3201.754
13,8624,8.421875,17986,243,2048,1,2047,2047,0,0,0,57511,55355,1024,1024,3191.925
47,11089,10.8291015625,17986,244,2048,1,2047,2047,0,0,0,1495,30261,895,1019,3201.814
12,8245,8.0517578125,17986,245,2048,1,2047,2047,0,0,0,20425,35069,1024,1024,3156.989
22,4804,4.69140625,17986,246,2048,1,2047,2047,0,0,0,42916,5217,895,1024,3201.984
27,14102,13.771484375,17986,247,2048,1,2047,2047,0,0,0,60156,51538,1019,1024,3204.159
16,10038,9.802734375,17986,248,2048,1,2047,2047,0,0,0,20383,22483,1024,1024,3176.265
26,12678,12.380859375,17986,249,2048,1,2047,2047,0,0,0,28868,60072,1024,1024,3205.041
19,9076,8.86328125,17986,250,2048,1,2047,2047,0,0,0,2450,32511,1024,1024,3204.249
25,12615,12.3193359375,17986,251,2048,1,2047,2047,0,0,0,52337,41526,1024,1024,3200.021
9,5440,5.3125,17986,252,2048,1,2047,2047,0,0,0,28418,21174,1024,1024,3195.201
10,7029,6.8642578125,17986,253,2048,1,2047,2047,0,0,0,6615,44143,1024,1019,3190.673
4,5754,5.619140625,17986,254,2048,1,2047,2047,0,0,0,56699,44569,1024,1024,3198.758
30,8963,8.7529296875,17986,255,2048,1,2047,2047,0,0,0,16130,62135,1024,831,3193.809
20,8685,8.4814453125,17986,256,2048,1,2047,2047,0,0,0,52470,19941,1024,1024,3189.581
6,5999,5.8583984375,17986,257,2048,1,2047,2047,0,0,0,17470,6510,1024,1024,3194.019
28,12077,11.7939453125,17986,258,2048,1,2047,2047,0,0,0,41702,36448,1024,1024,3192.556
40,10778,10.525390625,17986,259,2048,1,2047,2047,0,0,0,43932,15848,1024,1024,3193.207
18,8205,8.0126953125,17986,260,2048,1,2047,2047,0,0,0,7397,20798,1024,1024,3194.18
11,7494,7.318359375,17986,261,2048,1,2047,2047,0,0,0,13129,52308,1024,1024,3194.13
14,3812,3.72265625,17986,262,2048,1,2047,2047,0,0,0,27042,57289,1024,1024,3198.818
29,16575,16.1865234375,17986,263,2048,1,2047,2047,0,0,0,57212,64341,1024,1024,3202.866
39,12554,12.259765625,17986,264,2048,1,2047,2047,0,0,0,18488,57121,1024,1024,3200.061
43,5158,5.037109375,17986,265,2048,1,2047,2047,0,0,0,29535,55235,1024,1024,3199.129
34,15819,15.4482421875,17986,266,2048,1,2047,2047,0,0,0,5051,45083,1024,1024,3202.765
5,10142,9.904296875,17986,267,2048,1,2047,2047,0,0,0,19121,20874,1024,1024,3200.572
17,5841,5.7041015625,17986,268,2048,1,2047,2047,0,0,0,49738,36866,1024,1024,3182.758
2,6087,5.9443359375,17986,269,2048,1,2047,2047,0,0,0,4960,14722,1024,1019,3204.018
46,15505,15.1416015625,17986,270,2048,1,2047,2047,0,0,0,26928,9829,1024,815,3199.721
24,11143,10.8818359375,17986,271,2048,1,2047,2047,0,0,0,36474,6365,1024,1024,3200.181
42,9714,9.486328125,17986,272,2048,1,2047,2047,0,0,0,39359,22975,1024,1024,3201.343
15,8033,7.8447265625,17986,273,2048,1,2047,2047,0,0,0,46870,7574,895,1024,3201.423
1,7701,7.5205078125,17986,274,2048,1,2047,2047,0,0,0,50724,26412,1024,1024,3193.398
32,8239,8.0458984375,17986,275,2048,1,2047,2047,0,0,0,41122,7804,1024,1019,3198.778
45,8528,8.328125,17986,276,2048,1,2047,2047,0,0,0,32651,38987,1024,1019,3198.377
38,12117,11.8330078125,17986,277,2048,1,2047,2047,0,0,0,5246,32627,1024,1024,3195.963
35,10053,9.8173828125,17986,278,2048,1,2047,2047,0,0,0,3261,9765,1024,1024,3190.403
36,12698,12.400390625,17986,279,2048,1,2047,2047,0,0,0,24306,22104,1024,1024,3197.436
8,6173,6.0283203125,17986,280,2048,1,2047,2047,0,0,0,59751,25046,1024,1024,3199.139
3,3706,3.619140625,17986,281,2048,1,2047,2047,0,0,0,54604,16438,1024,1024,3156.829
0,8880,8.671875,17986,282,2048,1,2047,2047,0,0,0,62179,58690,1024,1024,3189.381
41,11264,11,17986,283,2048,1,2047,2047,0,0,0,3042,1823,1024,1024,3193.459
31,12532,12.23828125,17986,284,2048,1,2047,2047,0,0,0,18134,34598,1024,1024,3200.762
7,6976,6.8125,17986,285,2048,1,2047,2047,0,0,0,20821,7346,1024,1024,3192.016
23,8614,8.412109375,17986,286,2048,1,2047,2047,0,0,0,14667,1187,1024,252,3204.009
33,13936,13.609375,17986,287,2048,1,2047,2047,0,0,0,38298,15689,1024,1024,3186.706
37,6828,6.66796875,17986,288,2048,1,2047,2047,0,0,0,65111,29288,1024,1024,3201.383
