sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4247.932
1,2320,2.265625,4256.087
2,3072,3,4261.097
3,3552,3.46875,4260.736
4,3440,3.359375,4253.582
5,3104,3.03125,4260.646
6,3632,3.546875,4259.924
7,4336,4.234375,4260.346
8,3696,3.609375,4255.066
9,3136,3.0625,4258.111
10,3968,3.875,4258.963
11,3872,3.78125,4259.103
12,2816,2.75,5291.084
13,4208,4.109375,4262.469
14,3856,3.765625,4256.558
15,3872,3.78125,4256.678
16,3952,3.859375,4269.803
17,3408,3.328125,5285.334
18,2752,2.6875,4254.445
19,4000,3.90625,5259.855
20,3968,3.875,4264.814
21,2544,2.484375,5300.151
22,1472,1.4375,4264.584
23,4000,3.90625,4244.826
24,5104,4.984375,4279.732
25,4592,4.484375,4274.793
26,7024,6.859375,4267.489
27,4848,4.734375,4268.02
28,5360,5.234375,4277.658
29,6016,5.875,4263.161
30,6272,6.125,4266.077
31,6208,6.0625,4271.547
32,5104,4.984375,4263.862
33,7680,7.5,4265.856
34,8224,8.03125,4267.72
35,4336,4.234375,4262.198
36,6096,5.953125,4259.894
37,4960,4.84375,4264.664
38,5968,5.828125,4263.502
39,6784,6.625,4253.623
40,3776,3.6875,4262.739
41,5264,5.140625,4253.091
42,4720,4.609375,4267.458
43,5568,5.4375,4246.459
44,5120,5,4254.134
45,4528,4.421875,4247.742
46,5664,5.53125,4267.269
47,6736,6.578125,4260.536
