sample_index,logit_fixed_raw,logit,latency_us
0,-27518,-26.873046875,2132.092
1,-12838,-12.537109375,2131.47
2,-12778,-12.478515625,2141.88
3,-12811,-12.5107421875,2126.271
4,-12778,-12.478515625,2136.61
5,-12860,-12.55859375,2126.861
6,-12812,-12.51171875,2123.406
7,-12839,-12.5380859375,2124.677
8,-12778,-12.478515625,2123.746
9,-12812,-12.51171875,2141.129
10,-12805,-12.5048828125,2123.966
11,-12838,-12.537109375,2136.179
12,-12767,-12.4677734375,2131.37
13,-12797,-12.4970703125,2134.987
14,-12778,-12.478515625,2123.656
15,-12848,-12.546875,2123.605
16,-12797,-12.4970703125,2134.937
17,-12797,-12.4970703125,2131.16
18,-12835,-12.5341796875,2136.11
19,-12846,-12.544921875,2130.659
20,-12923,-12.6201171875,2136.249
21,-12831,-12.5302734375,2111.893
22,-12797,-12.4970703125,2123.876
23,-12797,-12.4970703125,2129.366
24,-12811,-12.5107421875,2132.472
25,-12846,-12.544921875,2129.797
26,-12778,-12.478515625,2135.328
27,-12778,-12.478515625,2130.389
28,-12860,-12.55859375,2134.205
29,-12819,-12.5185546875,2133.334
30,-12797,-12.4970703125,2127.673
31,-12805,-12.5048828125,2134.907
32,-12872,-12.5703125,2135.087
33,-12805,-12.5048828125,2134.817
34,-12770,-12.470703125,2132.111
35,-12805,-12.5048828125,2078.28
36,-12805,-12.5048828125,2131.49
37,-12778,-12.478515625,2099.47
38,-12805,-12.5048828125,2123.535
39,-12894,-12.591796875,2124.437
40,-12846,-12.544921875,2124.347
41,-12733,-12.4345703125,2134.396
42,-12819,-12.5185546875,2135.458
43,-12805,-12.5048828125,2136.259
44,-12819,-12.5185546875,2123.384
45,-12819,-12.5185546875,2134.666
46,-12831,-12.5302734375,2131.45
47,-12846,-12.544921875,2123.816
