sample_id,class_label,class_name,source_type,app_id,app_name,variant_id,floorplan_id,ro_count,batch_id,config_local,config_global,shell_id,tool_version,bitstream_path,timing_status,lut_count,ff_count,bram_count,dsp_count,validation_status,file_hash,notes
B000,0,benign,base,A01,hello_world,benign,FP00,0,BENIGN_FP00,0,0,0ef56b64,Vivado v.2024.2,config_000/vfpga_c000_0.bin,PASS,13718,24699,63.5,0,PASS,c1229c14be0340c175debbf0918ab313b9ededd1d478ca93a443a9efe5803185,
B001,0,benign,base,A02,hls_vadd,benign,FP00,0,BENIGN_FP00,1,1,0ef56b64,Vivado v.2024.2,config_001/vfpga_c001_0.bin,PASS,20307,35141,78,32,PASS,2e7183cff1142a6c8e4cccc54f8e51581f792a937c7e9cf936d35aa378a4dab9,
B002,0,benign,base,A03,multitenancy_aes,benign,FP00,0,BENIGN_FP00,2,2,0ef56b64,Vivado v.2024.2,config_002/vfpga_c002_0.bin,PASS,35538,26893,63.5,0,PASS,182d6b6c8353118addede4225de32c9e25b2fbb912108aaab5e9455126d5dcc2,
B003,0,benign,base,A04,user_interrupts,benign,FP00,0,BENIGN_FP00,3,3,0ef56b64,Vivado v.2024.2,config_003/vfpga_c003_0.bin,PASS,11037,19271,50,0,PASS,ea2b8e9013a38014275bd94c544f63547a60c2e352100eeea9fb05542207d010,
B004,0,benign,base,A05,perf_fpga,benign,FP00,0,BENIGN_FP00,4,4,0ef56b64,Vivado v.2024.2,config_004/vfpga_c004_0.bin,PASS,13734,22998,45,0,PASS,6e29e4dea2b787d3bf245347a9a78557a4ee8ed7e0640b93b369a3ad9ba445d9,
B005,0,benign,base,A06,multithreading_aes,benign,FP00,0,BENIGN_FP00,5,5,0ef56b64,Vivado v.2024.2,config_005/vfpga_c005_0.bin,PASS,26783,26897,55.5,0,PASS,cc1671dd7219d471353d9284fc4c1380c6dfcc39b49f75019b6735fded01434c,
B006,0,benign,base,A07,euclidean,benign,FP00,0,BENIGN_FP00,6,6,0ef56b64,Vivado v.2024.2,config_006/vfpga_c006_0.bin,PASS,20799,35668,78,35,PASS,b74416094a17626a0972bd007b68d9d2ad23cd733d18ada77ae2f79ec60e6658,
B007,0,benign,base,A08,cosine,benign,FP00,0,BENIGN_FP00,7,7,0ef56b64,Vivado v.2024.2,config_007/vfpga_c007_0.bin,PASS,20833,33842,78,15,PASS,42e8312579565435e77aca91b145c42bc5fd99395b8e739d8722b8eec50b8a3e,
B008,0,benign,nodbg,V01,hello_world_nodbg,benign,FP00,0,BENIGN_FP00,8,8,0ef56b64,Vivado v.2024.2,config_008/vfpga_c008_0.bin,PASS,9580,16676,34,0,PASS,dabfe1c589d1d8432d0942a67b0529812f9a945cf774ed06bc1ccf2a304cef92,
B009,0,benign,nodbg,V02,hls_vadd_nodbg,benign,FP00,0,BENIGN_FP00,9,9,0ef56b64,Vivado v.2024.2,config_009/vfpga_c009_0.bin,PASS,13868,23647,34,32,PASS,006fd271b6c69d4943fa2d7d3181c09896929cf798d6748f235359451f63b41b,
B010,0,benign,nodbg,V03,multitenancy_aes_nodbg,benign,FP00,0,BENIGN_FP00,10,10,0ef56b64,Vivado v.2024.2,config_010/vfpga_c010_0.bin,PASS,31149,18870,34,0,PASS,0ec817f644a6c2fccb4f88067f35bb88baa6c7183ac60863e164c89556ef08f5,
B011,0,benign,nodbg,V04,user_interrupts_nodbg,benign,FP00,0,BENIGN_FP00,11,11,0ef56b64,Vivado v.2024.2,config_011/vfpga_c011_0.bin,PASS,8372,14331,34,0,PASS,c589e0a70ff7bbb5772a1eb641603d19cc3563613cca7d35faee23599e33410f,
B012,0,benign,nodbg,V05,perf_fpga_nodbg,benign,FP00,0,BENIGN_FP00,12,12,0ef56b64,Vivado v.2024.2,config_012/vfpga_c012_0.bin,PASS,9850,17100,34,0,PASS,afc9b9da0d5e502df0a60c2f8783963ef78747619be8cfca1d7d5fdaf9678a66,
B013,0,benign,nodbg,V06,multithreading_aes_nodbg,benign,FP00,0,BENIGN_FP00,13,13,0ef56b64,Vivado v.2024.2,config_013/vfpga_c013_0.bin,PASS,20408,20785,39,0,PASS,741f3eea9b21cab512a881eae2544137205ce181ada581552dce6488e8d622b4,
B014,0,benign,nodbg,V07,euclidean_nodbg,benign,FP00,0,BENIGN_FP00,14,14,0ef56b64,Vivado v.2024.2,config_014/vfpga_c014_0.bin,PASS,14360,24174,34,35,PASS,12fe746479885f763098543c80fed8c4adeaf874fa9e24a32610aeef5c0ec2c3,
B015,0,benign,base,A01,hello_world,benign,FP01,0,BENIGN_FP01,0,15,0ef56b64,Vivado v.2024.2,config_015/vfpga_c015_0.bin,PASS,13718,24699,63.5,0,PASS,11bc32a739670f5986c3aa3b817a8c3d37fb47ecbbeec310b401717192134a9b,
B016,0,benign,base,A02,hls_vadd,benign,FP01,0,BENIGN_FP01,1,16,0ef56b64,Vivado v.2024.2,config_016/vfpga_c016_0.bin,PASS,20307,35141,78,32,PASS,31ea98ff5c28aaeecdf8dfeb5b98f5b1e7f49754c044178ae14762a4beb48048,
B017,0,benign,base,A03,multitenancy_aes,benign,FP01,0,BENIGN_FP01,2,17,0ef56b64,Vivado v.2024.2,config_017/vfpga_c017_0.bin,PASS,35538,26893,63.5,0,PASS,aa6bca786401dd7033e305bd047dedd0478f5393dc497370a0e6aa3ac27c45c5,
B018,0,benign,base,A04,user_interrupts,benign,FP01,0,BENIGN_FP01,3,18,0ef56b64,Vivado v.2024.2,config_018/vfpga_c018_0.bin,PASS,11037,19271,50,0,PASS,9eca153de77c2d7da13c1ff8d4188d29b77b5ea718406af29c923c05f4e43dd6,
B019,0,benign,base,A05,perf_fpga,benign,FP01,0,BENIGN_FP01,4,19,0ef56b64,Vivado v.2024.2,config_019/vfpga_c019_0.bin,PASS,13734,22998,45,0,PASS,8bc77abb285054838521a9fb6f4f5d078673cc5f21315432ba2087f894ba75cd,
B020,0,benign,base,A06,multithreading_aes,benign,FP01,0,BENIGN_FP01,5,20,0ef56b64,Vivado v.2024.2,config_020/vfpga_c020_0.bin,FAIL,26783,26897,55.5,0,FAIL,45093d7a56708644a3919ceb73ce64fc8c11282c9fce506d4344523796d44532,
B021,0,benign,base,A07,euclidean,benign,FP01,0,BENIGN_FP01,6,21,0ef56b64,Vivado v.2024.2,config_021/vfpga_c021_0.bin,PASS,20799,35668,78,35,PASS,d5956460db9b4d3deaa3f1f235edd9174e9b465c4b58fa829922df62bea7e8e8,
B022,0,benign,base,A08,cosine,benign,FP01,0,BENIGN_FP01,7,22,0ef56b64,Vivado v.2024.2,config_022/vfpga_c022_0.bin,PASS,20833,33842,78,15,PASS,8684bf67b570ed79f7017e1d7ab5e382f495efda341d2fdb3bdaaeeb480b7223,
B023,0,benign,nodbg,V01,hello_world_nodbg,benign,FP01,0,BENIGN_FP01,8,23,0ef56b64,Vivado v.2024.2,config_023/vfpga_c023_0.bin,PASS,9580,16676,34,0,PASS,d902637113490b07dc28137dadb254db87cf5c1836447ce05b933c39e2c7e69a,
B024,0,benign,nodbg,V02,hls_vadd_nodbg,benign,FP01,0,BENIGN_FP01,9,24,0ef56b64,Vivado v.2024.2,config_024/vfpga_c024_0.bin,PASS,13868,23647,34,32,PASS,9e3bdcd216a27799de782c47d9c7971121bbe0fcdf852c0957a5aa51b03cb71e,
B025,0,benign,nodbg,V03,multitenancy_aes_nodbg,benign,FP01,0,BENIGN_FP01,10,25,0ef56b64,Vivado v.2024.2,config_025/vfpga_c025_0.bin,PASS,31149,18870,34,0,PASS,2d0d485b3c5d1991ade62be92dbbf7a28e12f12d0c7834d4df234b58afd42eaa,
B026,0,benign,nodbg,V04,user_interrupts_nodbg,benign,FP01,0,BENIGN_FP01,11,26,0ef56b64,Vivado v.2024.2,config_026/vfpga_c026_0.bin,PASS,8372,14331,34,0,PASS,86cd439a7b2c09a6ba2c6a5dbbe7bbc35c0c7829908afeb0d7ad6460ab3961f4,
B027,0,benign,nodbg,V05,perf_fpga_nodbg,benign,FP01,0,BENIGN_FP01,12,27,0ef56b64,Vivado v.2024.2,config_027/vfpga_c027_0.bin,PASS,9850,17100,34,0,PASS,e84994793a9c4c4820f53215bf46eacf54907218992c933022d07e1ba12ca2ba,
B028,0,benign,nodbg,V06,multithreading_aes_nodbg,benign,FP01,0,BENIGN_FP01,13,28,0ef56b64,Vivado v.2024.2,config_028/vfpga_c028_0.bin,PASS,20408,20785,39,0,PASS,a16bb94bd5668a80c3d053d54bfb61be1e0806c1db6839199bc42bbb9487d453,
B029,0,benign,nodbg,V07,euclidean_nodbg,benign,FP01,0,BENIGN_FP01,14,29,0ef56b64,Vivado v.2024.2,config_029/vfpga_c029_0.bin,PASS,14360,24174,34,35,PASS,5e455c9a72090d4797d15bd11a89f8b514c028c84709309588f5f8cbe3cf50ad,
B030,0,benign,base,A01,hello_world,benign,FP02,0,BENIGN_FP02,0,30,0ef56b64,Vivado v.2024.2,config_030/vfpga_c030_0.bin,PASS,13718,24699,63.5,0,PASS,fe6d7e2a7843b63a158e9f8641a194f5fda8151afe168f7e91579b21735dcfaa,
B031,0,benign,base,A02,hls_vadd,benign,FP02,0,BENIGN_FP02,1,31,0ef56b64,Vivado v.2024.2,config_031/vfpga_c031_0.bin,PASS,20307,35141,78,32,PASS,44935de672ceba27c1de76c7e8f44678755e70bc649185d5090559d01556c901,
B032,0,benign,base,A03,multitenancy_aes,benign,FP02,0,BENIGN_FP02,2,32,0ef56b64,Vivado v.2024.2,config_032/vfpga_c032_0.bin,PASS,35538,26893,63.5,0,PASS,c27008d5abd40f364a6f27cc5f8b9b637c6ae610db063a013189906da6613ebb,
B033,0,benign,base,A04,user_interrupts,benign,FP02,0,BENIGN_FP02,3,33,0ef56b64,Vivado v.2024.2,config_033/vfpga_c033_0.bin,PASS,11037,19271,50,0,PASS,02a0ac4b864854b5a8a1c4681c5e3430bd595aa3c116460418f4a5858574e25b,
B034,0,benign,base,A05,perf_fpga,benign,FP02,0,BENIGN_FP02,4,34,0ef56b64,Vivado v.2024.2,config_034/vfpga_c034_0.bin,PASS,13734,22998,45,0,PASS,72fe62c68c02dbb9db10e13718c458813bf1edaf1f220b013dc141f9d66da242,
B035,0,benign,base,A06,multithreading_aes,benign,FP02,0,BENIGN_FP02,5,35,0ef56b64,Vivado v.2024.2,config_035/vfpga_c035_0.bin,PASS,26783,26897,55.5,0,PASS,c902396244175d41abe5654fb8ed84d8b06fa977087ee82516a8cbf1e8a52107,
B036,0,benign,base,A07,euclidean,benign,FP02,0,BENIGN_FP02,6,36,0ef56b64,Vivado v.2024.2,config_036/vfpga_c036_0.bin,PASS,20799,35668,78,35,PASS,d23bf515342aea91ca5430694808ed7d535e57cb5cc53b74dbf29fa0cf39a44a,
B037,0,benign,base,A08,cosine,benign,FP02,0,BENIGN_FP02,7,37,0ef56b64,Vivado v.2024.2,config_037/vfpga_c037_0.bin,PASS,20833,33842,78,15,PASS,086a1d6f34a1849bd5ba860deaeb90d34a1ffaef650e557ab16a464f223e70b0,
B038,0,benign,nodbg,V01,hello_world_nodbg,benign,FP02,0,BENIGN_FP02,8,38,0ef56b64,Vivado v.2024.2,config_038/vfpga_c038_0.bin,PASS,9580,16676,34,0,PASS,74ed93e1c0a4c1d0ef860d0198594f6cd1f8007a4cf7c2eb8633db1f9b254681,
B039,0,benign,nodbg,V02,hls_vadd_nodbg,benign,FP02,0,BENIGN_FP02,9,39,0ef56b64,Vivado v.2024.2,config_039/vfpga_c039_0.bin,PASS,13868,23647,34,32,PASS,a8204f559d2de20f75648e33679da4133aa0ac9faddd2073b9e171276f39e72a,
B040,0,benign,nodbg,V03,multitenancy_aes_nodbg,benign,FP02,0,BENIGN_FP02,10,40,0ef56b64,Vivado v.2024.2,config_040/vfpga_c040_0.bin,PASS,31149,18870,34,0,PASS,4e3e2a3aac7013493c63e5ddef808b92ab055389a3534c03dee0ec215008408e,
B041,0,benign,nodbg,V04,user_interrupts_nodbg,benign,FP02,0,BENIGN_FP02,11,41,0ef56b64,Vivado v.2024.2,config_041/vfpga_c041_0.bin,PASS,8372,14331,34,0,PASS,e87cd590473629f270abc7db81ec0b573c7d23148456569eddb30d3165b2bdf8,
B042,0,benign,nodbg,V05,perf_fpga_nodbg,benign,FP02,0,BENIGN_FP02,12,42,0ef56b64,Vivado v.2024.2,config_042/vfpga_c042_0.bin,PASS,9850,17100,34,0,PASS,8e9f4be8e1780bb793bdb979c0a5b54094dc2141347b5e605717b03357f63636,
B043,0,benign,nodbg,V06,multithreading_aes_nodbg,benign,FP02,0,BENIGN_FP02,13,43,0ef56b64,Vivado v.2024.2,config_043/vfpga_c043_0.bin,PASS,20408,20785,39,0,PASS,7566325b9bc2e43d44eefab502b52c26f9fcb85aa766bacead45e384d571d596,
B044,0,benign,nodbg,V07,euclidean_nodbg,benign,FP02,0,BENIGN_FP02,14,44,0ef56b64,Vivado v.2024.2,config_044/vfpga_c044_0.bin,PASS,14360,24174,34,35,PASS,1151247f2c66f934cd26a6d14553fb2b6dc6106166509e71c42b6595518558af,
B045,0,benign,base,A01,hello_world,benign,FP03,0,BENIGN_FP03,0,45,0ef56b64,Vivado v.2024.2,config_045/vfpga_c045_0.bin,PASS,13718,24699,63.5,0,PASS,e8b2b6a4a203f64e679f26bee96bc68c5edde57791e104c4333453ea5c8af31d,
B046,0,benign,base,A02,hls_vadd,benign,FP03,0,BENIGN_FP03,1,46,0ef56b64,Vivado v.2024.2,config_046/vfpga_c046_0.bin,PASS,20307,35141,78,32,PASS,26b527285c55654cd606cc8ce6b4aa627c20a85c6f7d8f602a6a124a0725d48e,
B047,0,benign,base,A03,multitenancy_aes,benign,FP03,0,BENIGN_FP03,2,47,0ef56b64,Vivado v.2024.2,config_047/vfpga_c047_0.bin,PASS,35538,26893,63.5,0,PASS,b3ac8415ebb8c22e893b758fba7067ba5dca2edbc59b5a6bc7e175f77f13f1a7,
B048,0,benign,base,A04,user_interrupts,benign,FP03,0,BENIGN_FP03,3,48,0ef56b64,Vivado v.2024.2,config_048/vfpga_c048_0.bin,PASS,11037,19271,50,0,PASS,9f9937312175f1b9767f3cfac1132dd4a2768b48efd3c0e3c83f1fe864b3acf6,
