input_resolution,num_layers,column_group,column,status,success,failed,running,skipped_red,other,total,experiments
128,6,Baseline,P1/2/3,empty,0,0,0,0,0,0,
128,6,Quantization,W2A2,empty,0,0,0,0,0,0,
128,6,Quantization,W3A3,empty,0,0,0,0,0,0,
128,6,Quantization,W4A4,empty,0,0,0,0,0,0,
128,6,Quantization,W6A6,empty,0,0,0,0,0,0,
128,6,Quantization,W8A8,success,1,0,0,0,0,1,res128_layers6_W8A8_P0_RFbase
128,6,Pruning,P25,empty,0,0,0,0,0,0,
128,6,Pruning,P50,failed,0,1,0,0,0,1,res128_layers6_W8A8_P50_RFbase
128,6,Pruning,P75,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF1,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF2,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF4,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF8,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF16,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF32,empty,0,0,0,0,0,0,
256,6,Baseline,P1/2/3,empty,0,0,0,0,0,0,
256,6,Quantization,W2A2,empty,0,0,0,0,0,0,
256,6,Quantization,W3A3,empty,0,0,0,0,0,0,
256,6,Quantization,W4A4,empty,0,0,0,0,0,0,
256,6,Quantization,W6A6,empty,0,0,0,0,0,0,
256,6,Quantization,W8A8,success,1,0,0,0,0,1,res256_layers6_W8A8_P0_RFbase
256,6,Pruning,P25,empty,0,0,0,0,0,0,
256,6,Pruning,P50,failed,0,1,0,0,0,1,res256_layers6_W8A8_P50_RFbase
256,6,Pruning,P75,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF1,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF2,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF4,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF8,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF16,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF32,empty,0,0,0,0,0,0,
256,7,Baseline,P1/2/3,empty,0,0,0,0,0,0,
256,7,Quantization,W2A2,empty,0,0,0,0,0,0,
256,7,Quantization,W3A3,empty,0,0,0,0,0,0,
256,7,Quantization,W4A4,empty,0,0,0,0,0,0,
256,7,Quantization,W6A6,empty,0,0,0,0,0,0,
256,7,Quantization,W8A8,success,1,0,0,0,0,1,res256_layers7_W8A8_P0_RFbase
256,7,Pruning,P25,empty,0,0,0,0,0,0,
256,7,Pruning,P50,failed,0,1,0,0,0,1,res256_layers7_W8A8_P50_RFbase
256,7,Pruning,P75,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF1,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF2,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF4,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF8,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF16,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF32,empty,0,0,0,0,0,0,
512,7,Baseline,P1/2/3,empty,0,0,0,0,0,0,
512,7,Quantization,W2A2,empty,0,0,0,0,0,0,
512,7,Quantization,W3A3,empty,0,0,0,0,0,0,
512,7,Quantization,W4A4,empty,0,0,0,0,0,0,
512,7,Quantization,W6A6,empty,0,0,0,0,0,0,
512,7,Quantization,W8A8,success,1,0,0,0,0,1,res512_layers7_W8A8_P0_RFbase
512,7,Pruning,P25,empty,0,0,0,0,0,0,
512,7,Pruning,P50,failed,0,1,0,0,0,1,res512_layers7_W8A8_P50_RFbase
512,7,Pruning,P75,empty,0,0,0,0,0,0,
512,7,Reuse Factor,RF1,empty,0,0,0,0,0,0,
512,7,Reuse Factor,RF2,empty,0,0,0,0,0,0,
512,7,Reuse Factor,RF4,empty,0,0,0,0,0,0,
512,7,Reuse Factor,RF8,empty,0,0,0,0,0,0,
512,7,Reuse Factor,RF16,empty,0,0,0,0,0,0,
512,7,Reuse Factor,RF32,empty,0,0,0,0,0,0,
