sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,5270.435
1,2480,2.421875,4261.518
2,2288,2.234375,4267.169
3,2048,2,4319.768
4,2336,2.28125,4267.309
5,3264,3.1875,4337.581
6,2816,2.75,4269.052
7,4032,3.9375,4260.946
8,3696,3.609375,4264.313
9,2576,2.515625,4252.23
10,3712,3.625,4263.502
11,2496,2.4375,4294.92
12,2320,2.265625,4256.348
13,4208,4.109375,4255.797
14,3632,3.546875,4262.379
15,3728,3.640625,4264.353
16,3408,3.328125,4255.677
17,2880,2.8125,4259.884
18,2192,2.140625,4239.596
19,3968,3.875,4255.857
20,3904,3.8125,4246.83
21,2496,2.4375,4264.383
22,1552,1.515625,4270.885
23,3408,3.328125,4256.989
24,4688,4.578125,4252.771
25,4544,4.4375,4258.121
26,6992,6.828125,4260.275
27,4592,4.484375,4257.851
28,5040,4.921875,4259.374
29,6032,5.890625,4261.698
30,5968,5.828125,4264.203
31,6256,6.109375,4259.163
32,4960,4.84375,4265.015
33,6736,6.578125,4262.781
34,7536,7.359375,4262.049
35,4208,4.109375,4262.149
36,5760,5.625,4263.852
37,3792,3.703125,4251.118
38,5184,5.0625,4264.363
39,6336,6.1875,4291.915
40,3840,3.75,4243.975
41,4416,4.3125,4246.519
42,4448,4.34375,4255.727
43,4800,4.6875,4260.766
44,5072,4.953125,4264.233
45,4432,4.328125,4262.66
46,5664,5.53125,4262.931
47,6992,6.828125,4260.516
