sample_index,logit_fixed_raw,logit,latency_us
0,20422,19.943359375,2134.957
1,19589,19.1298828125,2132.443
2,17860,17.44140625,2152.841
3,17485,17.0751953125,2130.509
4,18859,18.4169921875,2118.316
5,19460,19.00390625,2133.334
6,18501,18.0673828125,2224.767
7,21112,20.6171875,2134.216
8,15911,15.5380859375,2125.889
9,17380,16.97265625,2115.43
10,23090,22.548828125,2125.208
11,17457,17.0478515625,2123.685
12,14484,14.14453125,2125.469
13,18951,18.5068359375,2123.746
14,15646,15.279296875,2131.861
15,19493,19.0361328125,2130.238
16,21340,20.83984375,2125.66
17,19361,18.9072265625,2125.98
18,18150,17.724609375,2129.326
19,18005,17.5830078125,2132.171
20,22095,21.5771484375,2131.68
21,18948,18.50390625,2129.376
22,20567,20.0849609375,2139.776
23,20556,20.07421875,2129.457
24,20994,20.501953125,2124.567
25,24966,24.380859375,2125.298
26,26621,25.9970703125,2145.978
27,20090,19.619140625,2130.819
28,23469,22.9189453125,2119.027
29,24604,24.02734375,2117.954
30,21973,21.4580078125,2127.673
31,23788,23.23046875,2119.919
32,23072,22.53125,2119.006
33,22234,21.712890625,2125.339
34,26574,25.951171875,2124.727
35,20088,19.6171875,2127.152
36,17137,16.7353515625,2126.38
37,19233,18.7822265625,2126.571
38,23692,23.13671875,2125.78
39,23421,22.8720703125,2119.508
40,16430,16.044921875,2128.976
41,21924,21.41015625,2126.081
42,24142,23.576171875,2126.691
43,23878,23.318359375,2126.651
44,20979,20.4873046875,2123.566
45,22952,22.4140625,2134.426
46,27678,27.029296875,2117.775
47,25319,24.7255859375,2117.754
