sample_index,logit_fixed_raw,logit,magic,frame_counter,input_beats,tlast_count,first_tlast_beat,last_tlast_beat,early_tlast,missing_tlast,keep_error_count,full_sum_raw,weighted_sum_raw,first_lane0_raw,last_lane0_raw,latency_us
21,6831,6.6708984375,17986,1,2048,1,2047,2047,0,0,0,30364,16260,0,1024,3187.808
44,9310,9.091796875,17986,2,2048,1,2047,2047,0,0,0,12485,36959,0,1024,3152.21
13,7638,7.458984375,17986,3,2048,1,2047,2047,0,0,0,57511,34895,0,1024,3191.054
47,9740,9.51171875,17986,4,2048,1,2047,2047,0,0,0,1495,47601,0,1024,3188.719
12,5760,5.625,17986,5,2048,1,2047,2047,0,0,0,20425,6345,0,895,3200.882
22,6912,6.75,17986,6,2048,1,2047,2047,0,0,0,42916,7361,0,1024,3225.419
27,9160,8.9453125,17986,7,2048,1,2047,2047,0,0,0,60156,29362,0,1024,3202.355
16,11840,11.5625,17986,8,2048,1,2047,2047,0,0,0,20383,20031,0,1024,3205.281
26,13093,12.7861328125,17986,9,2048,1,2047,2047,0,0,0,28868,52880,0,1024,3197.215
19,8652,8.44921875,17986,10,2048,1,2047,2047,0,0,0,2450,15095,0,1024,3196.645
25,13218,12.908203125,17986,11,2048,1,2047,2047,0,0,0,52337,7218,0,1024,3194.951
9,6562,6.408203125,17986,12,2048,1,2047,2047,0,0,0,28418,23750,0,1024,3196.223
10,10413,10.1689453125,17986,13,2048,1,2047,2047,0,0,0,6615,195,0,971,3199.61
4,8955,8.7451171875,17986,14,2048,1,2047,2047,0,0,0,56699,5949,0,1024,3198.989
30,11359,11.0927734375,17986,15,2048,1,2047,2047,0,0,0,16130,38087,0,1024,3201.383
20,7620,7.44140625,17986,16,2048,1,2047,2047,0,0,0,52470,63045,0,895,3198.247
6,8610,8.408203125,17986,17,2048,1,2047,2047,0,0,0,17470,3454,0,1024,3202.976
28,13870,13.544921875,17986,18,2048,1,2047,2047,0,0,0,41702,38976,0,1024,3198.908
40,4797,4.6845703125,17986,19,2048,1,2047,2047,0,0,0,43932,52544,0,1024,3204.71
18,6462,6.310546875,17986,20,2048,1,2047,2047,0,0,0,7397,34834,0,1024,3197.867
11,5618,5.486328125,17986,21,2048,1,2047,2047,0,0,0,13129,46848,0,1024,3198.408
14,4843,4.7294921875,17986,22,2048,1,2047,2047,0,0,0,27042,17153,0,1024,3201.484
29,15190,14.833984375,17986,23,2048,1,2047,2047,0,0,0,57212,30389,0,1024,3201.273
39,11666,11.392578125,17986,24,2048,1,2047,2047,0,0,0,18488,18377,0,1024,3207.405
43,11780,11.50390625,17986,25,2048,1,2047,2047,0,0,0,29535,24751,0,895,3185.553
34,12565,12.2705078125,17986,26,2048,1,2047,2047,0,0,0,5051,36471,0,1024,3189.801
5,7907,7.7216796875,17986,27,2048,1,2047,2047,0,0,0,19121,20446,0,1024,3191.064
17,4724,4.61328125,17986,28,2048,1,2047,2047,0,0,0,49738,49538,0,1024,3146.88
2,6638,6.482421875,17986,29,2048,1,2047,2047,0,0,0,4960,43642,0,1024,3192.737
46,16535,16.1474609375,17986,30,2048,1,2047,2047,0,0,0,26928,39677,0,895,3196.304
24,10908,10.65234375,17986,31,2048,1,2047,2047,0,0,0,36474,21957,0,1024,3193.648
42,11119,10.8583984375,17986,32,2048,1,2047,2047,0,0,0,39359,38659,0,1024,3196.154
15,6540,6.38671875,17986,33,2048,1,2047,2047,0,0,0,46870,55366,0,1024,3172.108
1,6647,6.4912109375,17986,34,2048,1,2047,2047,0,0,0,50724,38676,0,895,3197.636
32,10553,10.3056640625,17986,35,2048,1,2047,2047,0,0,0,41122,53956,0,1024,3192.667
45,11422,11.154296875,17986,36,2048,1,2047,2047,0,0,0,32651,62463,0,1024,3198.137
38,15825,15.4541015625,17986,37,2048,1,2047,2047,0,0,0,5246,30483,0,1024,3198.929
35,10202,9.962890625,17986,38,2048,1,2047,2047,0,0,0,3261,2129,0,1024,3155.938
36,7917,7.7314453125,17986,39,2048,1,2047,2047,0,0,0,24306,59792,0,1024,3192.246
8,3785,3.6962890625,17986,40,2048,1,2047,2047,0,0,0,59751,28730,0,1024,3195.663
3,5295,5.1708984375,17986,41,2048,1,2047,2047,0,0,0,54604,59430,0,1024,3191.134
0,7106,6.939453125,17986,42,2048,1,2047,2047,0,0,0,62179,35286,0,1024,3197.106
41,11865,11.5869140625,17986,43,2048,1,2047,2047,0,0,0,3042,16079,0,1024,3190.363
31,14406,14.068359375,17986,44,2048,1,2047,2047,0,0,0,18134,28798,0,899,3193.348
7,7477,7.3017578125,17986,45,2048,1,2047,2047,0,0,0,20821,33814,0,1024,3201.874
23,8194,8.001953125,17986,46,2048,1,2047,2047,0,0,0,14667,49655,0,1024,3204.68
33,12021,11.7392578125,17986,47,2048,1,2047,2047,0,0,0,38298,21777,0,1024,3202.105
37,6272,6.125,17986,48,2048,1,2047,2047,0,0,0,65111,2260,0,1024,3199.189
