sample_index,logit_fixed_raw,logit,latency_us
0,17815,17.3974609375,2118.195
1,18566,18.130859375,2135.117
2,17770,17.353515625,2133.054
3,17701,17.2861328125,2125.79
4,18686,18.248046875,2131.32
5,22819,22.2841796875,2167.167
6,18683,18.2451171875,2152.79
7,21222,20.724609375,2133.824
8,17510,17.099609375,2167.218
9,19058,18.611328125,2136.22
10,21568,21.0625,2133.384
11,19642,19.181640625,2167.679
12,17091,16.6904296875,2136.089
13,23713,23.1572265625,2134.035
14,17169,16.7666015625,2162.509
15,21391,20.8896484375,2141.8
16,23667,23.1123046875,2125.279
17,19299,18.8466796875,2198.738
18,19851,19.3857421875,2147.28
19,18687,18.2490234375,2136.079
20,21943,21.4287109375,2160.555
21,19841,19.3759765625,2169.973
22,20778,20.291015625,2141.98
23,21699,21.1904296875,2134.576
24,20597,20.1142578125,2170.824
25,24041,23.4775390625,2129.817
26,25349,24.7548828125,2132.061
27,20097,19.6259765625,2099.309
28,24431,23.8583984375,2103.969
29,23192,22.6484375,2138.694
30,22381,21.8564453125,2133.064
31,25795,25.1904296875,2129.707
32,23843,23.2841796875,2131.3
33,22084,21.56640625,2113.336
34,25410,24.814453125,2131.51
35,21301,20.8017578125,2132.061
36,18510,18.076171875,2136.029
37,19650,19.189453125,2135.428
38,21750,21.240234375,2131.831
39,24062,23.498046875,2130.258
40,15637,15.2705078125,2123.516
41,23490,22.939453125,2137.882
42,23195,22.6513671875,2123.435
43,22205,21.6845703125,2129.396
44,26079,25.4677734375,2146.919
45,21079,20.5849609375,2123.766
46,26658,26.033203125,2135.748
47,24280,23.7109375,2129.847
