experiment_name,phase,input_resolution,num_layers,conv_filters,final_feature_map_height,final_feature_map_width,final_channels,final_avg_pool,final_pool_area,final_pool_work,tier,weight_bits,activation_bits,pruning_target,reuse_factor,config_path,status,skip_reason
res512_layers7_W8A8_P50_RFResource32,5,512,7,"[8, 16, 24, 24, 32, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,32,configs/hls4ml_selected_feasible_candidates_resource_strategy/res512_layers7_W8A8_P50_RFResource32.yaml,pending,
res512_layers7_W8A8_P50_RFResource16,5,512,7,"[8, 16, 24, 24, 32, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,16,configs/hls4ml_selected_feasible_candidates_resource_strategy/res512_layers7_W8A8_P50_RFResource16.yaml,pending,
res512_layers7_W8A8_P50_RFResource8,5,512,7,"[8, 16, 24, 24, 32, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,8,configs/hls4ml_selected_feasible_candidates_resource_strategy/res512_layers7_W8A8_P50_RFResource8.yaml,pending,
res512_layers7_W8A8_P50_RFResource4,5,512,7,"[8, 16, 24, 24, 32, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,4,configs/hls4ml_selected_feasible_candidates_resource_strategy/res512_layers7_W8A8_P50_RFResource4.yaml,pending,
res512_layers7_W8A8_P50_RFResource2,5,512,7,"[8, 16, 24, 24, 32, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,2,configs/hls4ml_selected_feasible_candidates_resource_strategy/res512_layers7_W8A8_P50_RFResource2.yaml,pending,
res512_layers7_W8A8_P50_RFResource1,5,512,7,"[8, 16, 24, 24, 32, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,1,configs/hls4ml_selected_feasible_candidates_resource_strategy/res512_layers7_W8A8_P50_RFResource1.yaml,pending,
res256_layers6_W8A8_P50_RFResource32,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,32,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource32.yaml,pending,
res256_layers6_W8A8_P50_RFResource16,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,16,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource16.yaml,pending,
res256_layers6_W8A8_P50_RFResource8,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,8,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource8.yaml,pending,
res256_layers6_W8A8_P50_RFResource4,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,4,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource4.yaml,pending,
res256_layers6_W8A8_P50_RFResource2,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,2,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource2.yaml,pending,
res256_layers6_W8A8_P50_RFResource1,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,1,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource1.yaml,pending,
res256_layers7_W8A8_P50_RFResource32,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,32,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource32.yaml,pending,
res256_layers7_W8A8_P50_RFResource16,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,16,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource16.yaml,pending,
res256_layers7_W8A8_P50_RFResource8,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,8,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource8.yaml,pending,
res256_layers7_W8A8_P50_RFResource4,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,4,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource4.yaml,pending,
res256_layers7_W8A8_P50_RFResource2,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,2,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource2.yaml,pending,
res256_layers7_W8A8_P50_RFResource1,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,1,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource1.yaml,pending,
