experiment_name,status,model_strategy,bad_layer_count,full_hls_config
res256_layers6_W8A8_P50_RFResource1,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource1_hls_d2bc678835a2/fold_0/project/full_hls_config.json
res256_layers6_W8A8_P50_RFResource16,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource16_hls_3f9b301234a1/fold_0/project/full_hls_config.json
res256_layers6_W8A8_P50_RFResource2,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource2_hls_dc85b0eaeac9/fold_0/project/full_hls_config.json
res256_layers6_W8A8_P50_RFResource32,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource32_hls_d7908f8a9cc4/fold_0/project/full_hls_config.json
res256_layers6_W8A8_P50_RFResource4,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource4_hls_ba25186e374d/fold_0/project/full_hls_config.json
res256_layers6_W8A8_P50_RFResource8,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource8_hls_e8e455c7a7c5/fold_0/project/full_hls_config.json
res256_layers7_W8A8_P50_RFResource1,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e/fold_0/project/full_hls_config.json
res256_layers7_W8A8_P50_RFResource16,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource16_hls_bbab2a8cfb79/fold_0/project/full_hls_config.json
res256_layers7_W8A8_P50_RFResource2,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017/fold_0/project/full_hls_config.json
res256_layers7_W8A8_P50_RFResource32,success,Resource,0,/mnt/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource32_hls_6b653c3fdc27/fold_0/project/full_hls_config.json
