zeropad2d_cl_array_ap_fixed_1u_array_ap_fixed_16_6_5_3_0_1u_config2_U0,PadMain,seq_loop_status1.csv
zeropad2d_cl_array_ap_fixed_1u_array_ap_fixed_16_6_5_3_0_1u_config2_U0.grp_zeropad2d_cl_array_array_ap_fixed_1u_config2_Pipeline_PadTop_PadTopWidth_fu_50,PadTop_PadTopWidth,upc_loop_status1.csv
zeropad2d_cl_array_ap_fixed_1u_array_ap_fixed_16_6_5_3_0_1u_config2_U0.grp_zeropad2d_cl_array_array_ap_fixed_16_6_5_3_0_1u_config2_Pipeline_PadLeft_fu_56,PadLeft,upc_loop_status2.csv
zeropad2d_cl_array_ap_fixed_1u_array_ap_fixed_16_6_5_3_0_1u_config2_U0.grp_zeropad2d_cl_array_array_ap_fixed_1u_config2_Pipeline_PadBottom_PadBottomWidth_fu_62,PadBottom_PadBottomWidth,upc_loop_status3.csv
zeropad2d_cl_array_ap_fixed_1u_array_ap_fixed_16_6_5_3_0_1u_config2_U0.grp_zeropad2d_cl_array_array_ap_fixed_16_6_5_3_0_1u_config2_Pipeline_CopyMain_fu_68,CopyMain,upc_loop_status4.csv
zeropad2d_cl_array_ap_fixed_1u_array_ap_fixed_16_6_5_3_0_1u_config2_U0.grp_zeropad2d_cl_array_array_ap_fixed_16_6_5_3_0_1u_config2_Pipeline_PadRight_fu_76,PadRight,upc_loop_status5.csv
conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_28_13_5_3_0_8u_config3_U0,ReadInputHeight_ReadInputWidth,seq_loop_status2.csv
conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_28_13_5_3_0_8u_config3_U0.grp_compute_output_buffer_2d_array_array_ap_fixed_28_13_5_3_0_8u_config3_s_fu_112.grp_dense_resource_rf_leq_nin_ap_fixed_ap_fixed_28_13_5_3_0_config3_mult_s_fu_193,ReuseLoop,rewind_loop_status1.csv
relu_array_ap_fixed_8u_array_ap_ufixed_6_2_4_0_0_8u_relu_config5_U0,ReLUActLoop,upc_loop_status6.csv
pooling2d_cl_array_ap_ufixed_8u_array_ap_ufixed_6_2_4_0_0_8u_config6_U0,ReadInputHeight_ReadInputWidth,upc_loop_status7.csv
zeropad2d_cl_array_ap_ufixed_8u_array_ap_ufixed_6_2_4_0_0_8u_config7_U0,PadMain,seq_loop_status3.csv
