call_ordinal,sample_index,repetition,expected_logit,wrapper_raw,wrapper_logit,abs_err,pass,last,keep
0,0,1,-0.7421875,-760,-0.7421875,0,true,1,18446744073709551615
1,1,1,-1.05078125,-1076,-1.05078125,0,true,1,18446744073709551615
2,2,1,-0.966796875,-990,-0.966796875,0,true,1,18446744073709551615
3,3,1,-0.255859375,-262,-0.255859375,0,true,1,18446744073709551615
4,4,1,-0.70703125,-724,-0.70703125,0,true,1,18446744073709551615
5,5,1,-0.580078125,-594,-0.580078125,0,true,1,18446744073709551615
6,6,1,-0.034179688,-35,-0.0341796875,4.99999999737e-10,true,1,18446744073709551615
7,7,1,0.846679688,867,0.8466796875,5.0000004137e-10,true,1,18446744073709551615
8,8,1,-1.071289062,-1097,-1.0712890625,5.0000004137e-10,true,1,18446744073709551615
9,9,1,-0.8046875,-824,-0.8046875,0,true,1,18446744073709551615
10,10,1,-0.1171875,-120,-0.1171875,0,true,1,18446744073709551615
11,11,1,-0.0859375,-88,-0.0859375,0,true,1,18446744073709551615
12,12,1,-1.650390625,-1690,-1.650390625,0,true,1,18446744073709551615
13,13,1,0.302734375,310,0.302734375,0,true,1,18446744073709551615
14,14,1,-1.127929688,-1155,-1.1279296875,5.0000004137e-10,true,1,18446744073709551615
15,15,1,-0.545898438,-559,-0.5458984375,5.0000004137e-10,true,1,18446744073709551615
16,16,1,-0.608398438,-623,-0.6083984375,5.0000004137e-10,true,1,18446744073709551615
17,17,1,-0.461914062,-473,-0.4619140625,4.99999985859e-10,true,1,18446744073709551615
18,18,1,-0.380859375,-390,-0.380859375,0,true,1,18446744073709551615
19,19,1,-0.529296875,-542,-0.529296875,0,true,1,18446744073709551615
20,20,1,-0.41796875,-428,-0.41796875,0,true,1,18446744073709551615
21,21,1,-1.06640625,-1092,-1.06640625,0,true,1,18446744073709551615
22,22,1,-1.294921875,-1326,-1.294921875,0,true,1,18446744073709551615
23,23,1,-0.418945312,-429,-0.4189453125,4.99999985859e-10,true,1,18446744073709551615
24,24,1,0.026367188,27,0.0263671875,4.99999999737e-10,true,1,18446744073709551615
25,25,1,0.26953125,276,0.26953125,0,true,1,18446744073709551615
26,26,1,1.28125,1312,1.28125,0,true,1,18446744073709551615
27,27,1,0.431640625,442,0.431640625,0,true,1,18446744073709551615
28,28,1,0.671875,688,0.671875,0,true,1,18446744073709551615
29,29,1,1.811523438,1855,1.8115234375,5.0000004137e-10,true,1,18446744073709551615
30,30,1,0.935546875,958,0.935546875,0,true,1,18446744073709551615
31,31,1,0.826171875,846,0.826171875,0,true,1,18446744073709551615
32,32,1,0.5,512,0.5,0,true,1,18446744073709551615
33,33,1,1.547851562,1585,1.5478515625,5.0000004137e-10,true,1,18446744073709551615
34,34,1,2.067382812,2117,2.0673828125,5.0000004137e-10,true,1,18446744073709551615
35,35,1,0.403320312,413,0.4033203125,4.99999985859e-10,true,1,18446744073709551615
36,36,1,0.431640625,442,0.431640625,0,true,1,18446744073709551615
37,37,1,-0.44921875,-460,-0.44921875,0,true,1,18446744073709551615
38,38,1,0.767578125,786,0.767578125,0,true,1,18446744073709551615
39,39,1,1.520507812,1557,1.5205078125,5.0000004137e-10,true,1,18446744073709551615
40,40,1,-0.541015625,-554,-0.541015625,0,true,1,18446744073709551615
41,41,1,0.862304688,883,0.8623046875,5.0000004137e-10,true,1,18446744073709551615
42,42,1,-0.018554688,-19,-0.0185546875,4.99999999737e-10,true,1,18446744073709551615
43,43,1,0.452148438,463,0.4521484375,4.99999985859e-10,true,1,18446744073709551615
44,44,1,1.338867188,1371,1.3388671875,5.0000004137e-10,true,1,18446744073709551615
45,45,1,-0.328125,-336,-0.328125,0,true,1,18446744073709551615
46,46,1,1.45703125,1492,1.45703125,0,true,1,18446744073709551615
47,47,1,0.319335938,327,0.3193359375,4.99999985859e-10,true,1,18446744073709551615
