sample_index,logit_fixed_raw,logit,latency_us
0,19560,19.1015625,2127.623
1,19589,19.1298828125,2130.458
2,17860,17.44140625,2135.799
3,17485,17.0751953125,2129.276
4,18859,18.4169921875,2140.157
5,19460,19.00390625,2133.303
6,18501,18.0673828125,2156.046
7,21112,20.6171875,2121.661
8,15911,15.5380859375,2140.377
9,17380,16.97265625,2136.42
10,23090,22.548828125,2180.503
11,17457,17.0478515625,2146.288
12,14484,14.14453125,2130.849
13,18951,18.5068359375,2140.748
14,15646,15.279296875,2125.649
15,19493,19.0361328125,2132.071
16,21340,20.83984375,2138.283
17,19361,18.9072265625,2125.069
18,18150,17.724609375,2134.676
19,18005,17.5830078125,2127.793
20,22095,21.5771484375,2137.652
21,18948,18.50390625,2102.225
22,20567,20.0849609375,2132.202
23,20556,20.07421875,2133.324
24,20994,20.501953125,2129.537
25,24966,24.380859375,2131.59
26,26621,25.9970703125,2110.461
27,20090,19.619140625,2124.567
28,23469,22.9189453125,2139.445
29,24604,24.02734375,2134.095
30,21973,21.4580078125,2130.008
31,23788,23.23046875,2139.316
32,23072,22.53125,2134.617
33,22234,21.712890625,2094.411
34,26574,25.951171875,2145.827
35,20088,19.6171875,2129.287
36,17137,16.7353515625,2128.866
37,19233,18.7822265625,2137.041
38,23692,23.13671875,2133.604
39,23421,22.8720703125,2130.018
40,16430,16.044921875,2136.259
41,21924,21.41015625,2123.425
42,24142,23.576171875,2129.196
43,23878,23.318359375,2135.798
44,20979,20.4873046875,2144.305
45,22952,22.4140625,2138.193
46,27678,27.029296875,2136.66
47,25319,24.7255859375,2141.59
