sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4282.888
1,2480,2.421875,4305.671
2,2288,2.234375,4321.551
3,2048,2,4276.576
4,2336,2.28125,4327.642
5,3264,3.1875,4360.374
6,2816,2.75,4263.17
7,4032,3.9375,4297.385
8,3696,3.609375,4313.145
9,2576,2.515625,4303.477
10,3712,3.625,4288.96
11,2496,2.4375,4255.656
12,2320,2.265625,4261.667
13,4208,4.109375,4300.791
14,3632,3.546875,4277.287
15,3728,3.640625,4298.738
16,3408,3.328125,4314.598
17,2880,2.8125,4292.436
18,2192,2.140625,4279.491
19,3968,3.875,4304.329
20,3904,3.8125,4290.543
21,2496,2.4375,4338.704
22,1552,1.515625,4261.477
23,3408,3.328125,4341.639
24,4688,4.578125,4344.524
25,4544,4.4375,4260.946
26,6992,6.828125,4342.6
27,4592,4.484375,4327.923
28,5040,4.921875,4267.028
29,6032,5.890625,4295.532
30,5968,5.828125,4322.944
31,6256,6.109375,4341.168
32,4960,4.84375,4258.902
33,6736,6.578125,4262.83
34,7536,7.359375,4279.381
35,4208,4.109375,4282.477
36,5760,5.625,4295.962
37,3792,3.703125,4277.307
38,5184,5.0625,4249.385
39,6336,6.1875,4298.257
40,3840,3.75,4267.118
41,4416,4.3125,4263.031
42,4448,4.34375,4260.837
43,4800,4.6875,4281.565
44,5072,4.953125,4349.254
45,4432,4.328125,4261.427
46,5664,5.53125,4300.692
47,6992,6.828125,4327.723
