sample_index,sample_id,class_label,class_name,app_name,ro_count,bitstream_path,input_path,input_sha256,input_bytes
0,it1_B003,0,benign,user_interrupts,0,config_003/vfpga_c003_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0000.bin,b96392f64b80dc7b7a9cdcfbde5e061ba0bacf305bbe62af7b19998e22655fdd,32768
1,it1_B008,0,benign,hello_world_nodbg,0,config_008/vfpga_c008_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0001.bin,ddfd8c167dcb9d7043be02b1aecf5d958cbaaaf035bc21a468fdf88dc0cb93f7,32768
2,it1_B011,0,benign,user_interrupts_nodbg,0,config_011/vfpga_c011_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0002.bin,40baab774361e8291d3967d5c75799a783013dd923dfe0fac50b49cf6946e86a,32768
3,it1_B013,0,benign,multithreading_aes_nodbg,0,config_013/vfpga_c013_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0003.bin,806744ee6072e601df9cd9afddeeeb0b1d873ccc1142dd46b607164a8a60198e,32768
4,it1_B019,0,benign,perf_fpga,0,config_019/vfpga_c019_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0004.bin,75deddaf578974ee2b13736619af91f589e7250e28d04d7ed2ef372316a1e5ec,32768
5,it1_B029,0,benign,euclidean_nodbg,0,config_029/vfpga_c029_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0005.bin,9be53b5048a2934d8a5d453ed4ac38a09aba3f8d8bfdc3bb1aaed136e0423cf8,32768
6,it1_B030,0,benign,hello_world,0,config_030/vfpga_c030_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0006.bin,25d4d160f533c88f1e1d3afeb005b3dc17cd3a8d5970faad06610e63ff8d6a92,32768
7,it1_B035,0,benign,multithreading_aes,0,config_035/vfpga_c035_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0007.bin,2722842f1ef34065e964cfe98fbbf6e171bb0a11208d7c01bb6d52a2eaedba67,32768
8,it1_B044,0,benign,euclidean_nodbg,0,config_044/vfpga_c044_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0008.bin,ddc698eb7205141517259253d45f464a0a59ed1a208d72df572af6c4ba654799,32768
9,it1_B053,0,benign,hello_world_nodbg,0,config_053/vfpga_c053_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0009.bin,295c48a48719109024bd23150e2dc3de8b9f2d4d7576c862e3c1d2e2bd519e82,32768
10,it1_B062,0,benign,multitenancy_aes,0,config_062/vfpga_c062_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0010.bin,c29f68ece7e309844050eca918af79dcee5400990afe1c32d68ed468fb3245a0,32768
11,it1_B066,0,benign,euclidean,0,config_066/vfpga_c066_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0011.bin,1d5fa9f6f461211c0f41b14ff5f337b2e43fd70d5fe5fa2eb256a7ac05887355,32768
12,it1_B072,0,benign,perf_fpga_nodbg,0,config_072/vfpga_c072_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0012.bin,48b9fa14568865a610ee8859ea79a0fc7e74baf2c519303101b8e25f6447d10b,32768
13,it2_B002,0,benign,multitenancy_aes,0,config_002/vfpga_c002_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0013.bin,7a4e72c6a0d4a499130e139a3d00e844548c539f423ee8355814084c8958a413,32768
14,it2_B003,0,benign,user_interrupts,0,config_003/vfpga_c003_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0014.bin,9fc59c45dcc28d889c71d4569a9e67841079f973b669b4d91ec27c038bbfec90,32768
15,it2_B005,0,benign,multithreading_aes,0,config_005/vfpga_c005_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0015.bin,422f415114dc76416f75238e4d9a1175c673443ce54bb1c80fd82fd5948b2a6a,32768
16,it2_B006,0,benign,euclidean,0,config_006/vfpga_c006_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0016.bin,0b54ada836b4978db994edf029e494b153f7fc0a34311f9466e505f6fa2398aa,32768
17,it2_B009,0,benign,hls_vadd_nodbg,0,config_009/vfpga_c009_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0017.bin,6814c55140c50afb945c238e04eb7e8151cdc6d82dedd181472dd20ba7aadf4b,32768
18,it2_B048,0,benign,user_interrupts,0,config_048/vfpga_c048_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0018.bin,d7bec86066286c2cffcfe86db5c0275d0295c8c5daa4dd31caffa6430a9d5e9c,32768
19,it2_B051,0,benign,euclidean,0,config_051/vfpga_c051_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0019.bin,f0c672eb181cf9fc1c0acf8184d87c285f7db86ec83514426663130a4f64dfbe,32768
20,it2_B052,0,benign,cosine,0,config_052/vfpga_c052_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0020.bin,484c3a5777ba2ac8cb7b0f3868fbbd1848b0ee36cf93e5271b92ef4f652ab11b,32768
21,it2_B053,0,benign,hello_world_nodbg,0,config_053/vfpga_c053_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0021.bin,d0f7e2a5c67d2e21e7da3ea657d45ceecaead950ceb014a489c956144428cb53,32768
22,it2_B064,0,benign,perf_fpga,0,config_064/vfpga_c064_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0022.bin,cc5c1dc367e7159de76c783de4ad16ddaf32099add799a6f6cfe8a0142e8e49d,32768
23,it2_B070,0,benign,multitenancy_aes_nodbg,0,config_070/vfpga_c070_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0023.bin,1b443c11f110a46c3372ac76a4a67e3ae90b7e3ca6909d8cacb44c279ff549aa,32768
24,it1_S008,1,standalone,ro_12000,12000,config_083/vfpga_c083_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0024.bin,ef81028be939bfa747be017168f3b96ffb0a3e93d271d9defd511454b6cb7e3e,32768
25,it1_S009,1,standalone,ro_14000,14000,config_084/vfpga_c084_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0025.bin,3824a41a93dc7e4804a255234e224ab020858aabae4d78650e4e14f018359f52,32768
26,it1_S027,1,standalone,ro_19000,19000,config_102/vfpga_c102_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0026.bin,353b992de18113a414115f7478e5fb701a313a63726390f87bceebb6208868a1,32768
27,it1_S036,1,standalone,ro_8192,8192,config_111/vfpga_c111_0.bin,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img128/notebook_pruned_qat/20260429_210441_pruned_qat_w6_a6_s50_img128_lr3e4_kfold5_82b2fd82ef9d/hls_sweeps/rf1_hls_4aa9c0af7521/fold_0/u55c_deployment/prepared_inputs/sample_0027.bin,f5722702844e71a2195c0d61718e8bb2cd55ea8cc840b97c7f2b361cc7a65f24,32768
