run_short,run_label,sample_id,app_name,ro_count,probability,correct,fold
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S008,ro_12000,12000,0.979501,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S009,ro_14000,14000,0.971562,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S027,ro_19000,19000,0.997925,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S036,ro_8192,8192,0.871118,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S037,ro_10000,10000,0.975425,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S040,ro_16000,16000,0.99707,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S055,ro_16000,16000,0.990384,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S057,ro_19000,19000,0.99401,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S069,ro_14000,14000,0.992014,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S074,ro_22000,22000,0.997213,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S013,ro_21000,21000,0.999687,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S015,ro_8000,8000,0.710778,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S020,ro_13000,13000,0.942946,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S030,ro_8000,8000,0.413314,False,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S036,ro_14000,14000,0.978867,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S042,ro_20000,20000,0.996573,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S045,ro_8000,8000,0.557995,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S047,ro_10000,10000,0.932789,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S049,ro_12000,12000,0.791709,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S050,ro_13000,13000,0.918052,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S051,ro_14000,14000,0.884278,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S064,ro_12000,12000,0.952273,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S068,ro_16000,16000,0.988435,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S071,ro_19000,19000,0.997535,True,0
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S013,ro_20000,20000,0.995471,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S026,ro_18000,18000,0.990854,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S039,ro_14000,14000,0.925513,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S059,ro_22000,22000,0.996584,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it1_S066,ro_8192,8192,0.803188,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S008,ro_16000,16000,0.995142,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S009,ro_17000,17000,0.990658,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S014,ro_22000,22000,0.991165,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S023,ro_16000,16000,0.951254,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S029,ro_22000,22000,0.998208,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S031,ro_9000,9000,0.630573,True,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S032,ro_10000,10000,0.434226,False,1
cnn_small_hls_opt_512,cnn_small_hls_opt @ img=512,it2_S033,ro_11000,11000,0.416074,False,1
