sample_index,logit_fixed_raw,logit,latency_us
0,-27603,-26.9560546875,2121.011
1,-12770,-12.470703125,2133.745
2,-12797,-12.4970703125,2130.599
3,-12797,-12.4970703125,2131.761
4,-12872,-12.5703125,2129.357
5,-12797,-12.4970703125,2133.294
6,-12872,-12.5703125,2132.532
7,-12872,-12.5703125,2123.164
8,-12831,-12.5302734375,2132.833
9,-12846,-12.544921875,2128.535
10,-12805,-12.5048828125,2124.768
11,-12861,-12.5595703125,2129.446
12,-12819,-12.5185546875,2109.389
13,-12838,-12.537109375,2128.726
14,-12770,-12.470703125,2126.371
15,-12838,-12.537109375,2123.445
16,-12839,-12.5380859375,2128.645
17,-12797,-12.4970703125,2135.538
18,-12872,-12.5703125,2136.79
19,-12778,-12.478515625,2133.594
20,-12770,-12.470703125,2134.957
21,-12797,-12.4970703125,2085.182
22,-12831,-12.5302734375,2123.946
23,-12811,-12.5107421875,2135.938
24,-12793,-12.4931640625,2129.196
25,-12831,-12.5302734375,2134.706
26,-12797,-12.4970703125,2109.378
27,-12819,-12.5185546875,2134.126
28,-12778,-12.478515625,2126.721
29,-12811,-12.5107421875,2127.063
30,-12770,-12.470703125,2097.295
31,-12812,-12.51171875,2130.058
32,-12797,-12.4970703125,2135.488
33,-12778,-12.478515625,2132.552
34,-12800,-12.5,2135.258
35,-12831,-12.5302734375,2129.737
36,-12797,-12.4970703125,2138.263
37,-12778,-12.478515625,2135.999
38,-12770,-12.470703125,2123.214
39,-12812,-12.51171875,2137.923
40,-12831,-12.5302734375,2124.467
41,-12872,-12.5703125,2135.508
42,-12804,-12.50390625,2129.306
43,-12773,-12.4736328125,2138.664
44,-12805,-12.5048828125,2123.736
45,-12770,-12.470703125,2128.615
46,-12780,-12.48046875,2139.385
47,-12786,-12.486328125,2132.673
