experiment_name,reason
res512_layers5_W6A6_P50_RFbase,missing successful P50 pruning root
res512_layers5_W8A8_P50_RFbase,missing successful P50 pruning root
res512_layers6_W6A6_P50_RFbase,missing successful P50 pruning root
res512_layers6_W8A8_P50_RFbase,missing successful P50 pruning root
res512_layers7_W6A6_P50_RFbase,missing successful P50 pruning root
res1024_layers5_W8A8_P50_RFbase,missing successful P50 pruning root
res1024_layers6_W6A6_P50_RFbase,missing successful P50 pruning root
res1024_layers6_W8A8_P50_RFbase,missing successful P50 pruning root
res1024_layers7_W6A6_P50_RFbase,missing successful P50 pruning root
res1024_layers7_W8A8_P50_RFbase,missing successful P50 pruning root
