experiment_name,phase,input_resolution,num_layers,conv_filters,final_feature_map_height,final_feature_map_width,final_channels,final_avg_pool,final_pool_area,final_pool_work,tier,weight_bits,activation_bits,pruning_target,reuse_factor,status,skip_reason,config_path
res512_layers5_WfloatAfloat_P0_RFbase,1,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,float,float,0,1,pending,,configs/hls4ml_expand_sweep/res512_layers5_WfloatAfloat_P0_RFbase.yaml
res512_layers6_WfloatAfloat_P0_RFbase,2,512,6,"[8, 16, 24, 24, 32, 32]",4,4,32,"[4, 4]",16,512,green,float,float,0,1,pending,,configs/hls4ml_expand_sweep/res512_layers6_WfloatAfloat_P0_RFbase.yaml
res512_layers7_WfloatAfloat_P0_RFbase,2,512,7,"[8, 16, 24, 24, 32, 32, 32]",2,2,32,"[2, 2]",4,128,green,float,float,0,1,pending,,configs/hls4ml_expand_sweep/res512_layers7_WfloatAfloat_P0_RFbase.yaml
res1024_layers5_WfloatAfloat_P0_RFbase,2,1024,5,"[8, 16, 24, 24, 32]",16,16,32,"[16, 16]",256,8192,green,float,float,0,1,pending,,configs/hls4ml_expand_sweep/res1024_layers5_WfloatAfloat_P0_RFbase.yaml
res1024_layers6_WfloatAfloat_P0_RFbase,2,1024,6,"[8, 16, 24, 24, 32, 32]",8,8,32,"[8, 8]",64,2048,green,float,float,0,1,pending,,configs/hls4ml_expand_sweep/res1024_layers6_WfloatAfloat_P0_RFbase.yaml
res1024_layers7_WfloatAfloat_P0_RFbase,2,1024,7,"[8, 16, 24, 24, 32, 32, 32]",4,4,32,"[4, 4]",16,512,green,float,float,0,1,pending,,configs/hls4ml_expand_sweep/res1024_layers7_WfloatAfloat_P0_RFbase.yaml
res512_layers5_W4A4_P0_RFbase,4,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,4,4,0,1,pending,,configs/hls4ml_expand_sweep/res512_layers5_W4A4_P0_RFbase.yaml
res512_layers5_W6A6_P0_RFbase,4,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,6,6,0,1,pending,,configs/hls4ml_expand_sweep/res512_layers5_W6A6_P0_RFbase.yaml
res512_layers5_W8A8_P0_RFbase,4,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,8,8,0,1,pending,,configs/hls4ml_expand_sweep/res512_layers5_W8A8_P0_RFbase.yaml
res512_layers6_W4A4_P0_RFbase,4,512,6,"[8, 16, 24, 24, 32, 32]",4,4,32,"[4, 4]",16,512,green,4,4,0,1,pending,,configs/hls4ml_expand_sweep/res512_layers6_W4A4_P0_RFbase.yaml
res512_layers6_W6A6_P0_RFbase,4,512,6,"[8, 16, 24, 24, 32, 32]",4,4,32,"[4, 4]",16,512,green,6,6,0,1,pending,,configs/hls4ml_expand_sweep/res512_layers6_W6A6_P0_RFbase.yaml
