sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4232.363
1,2480,2.421875,4230.799
2,2288,2.234375,4317.593
3,2048,2,4254.725
4,2336,2.28125,4264.894
5,3264,3.1875,4263.992
6,2816,2.75,4260.616
7,4032,3.9375,4262.92
8,3696,3.609375,4255.145
9,2576,2.515625,4261.417
10,3712,3.625,4266.356
11,2496,2.4375,4259.484
12,2320,2.265625,4270.124
13,4208,4.109375,4258.973
14,3632,3.546875,5279.913
15,3728,3.640625,4263.391
16,3408,3.328125,4255.236
17,2880,2.8125,4262.259
18,2192,2.140625,4257.029
19,3968,3.875,4260.736
20,3904,3.8125,4258.362
21,2496,2.4375,4263.101
22,1552,1.515625,4253.723
23,3408,3.328125,4260.505
24,4688,4.578125,4261.497
25,4544,4.4375,4259.694
26,6992,6.828125,4263.792
27,4592,4.484375,4231.661
28,5040,4.921875,4263.692
29,6032,5.890625,4268.731
30,5968,5.828125,4260.055
31,6256,6.109375,4251.007
32,4960,4.84375,4264.102
33,6736,6.578125,4252.21
34,7536,7.359375,5296.514
35,4208,4.109375,4261.708
36,5760,5.625,4245.487
37,3792,3.703125,4263.05
38,5184,5.0625,4259.103
39,6336,6.1875,4255.096
40,3840,3.75,4261.948
41,4416,4.3125,4254.644
42,4448,4.34375,4254.445
43,4800,4.6875,4263.671
44,5072,4.953125,4269.122
45,4432,4.328125,4258.552
46,5664,5.53125,4261.227
47,6992,6.828125,4256.608
