layer,shape,n_values_per_sample,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
pool4,"(2, 2, 32)",128,2.822265625,0.048828125,0.1546018263436585,0.5,0.03460527785998992,0.9993969335556403,1,auto,auto,
gap,"(1, 1, 32)",32,2.822265625,0.111328125,0.14848206715168547,0.375,0.03401467577749199,0.999431105095379,1,auto,auto,
output_dense,"(1,)",1,6.701171875,0.146484375,0.146484375,0.2421875,0.032168187599729045,0.9999999999999598,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
act4,"(4, 4, 32)",512,1.558349609375,0.0283203125,0.11829414506151262,0.5,0.038969435808827696,0.9992421431916173,1,"ufixed<6,5,RND_CONV,SAT,0>",,
conv4,"(4, 4, 32)",512,2.4759140014648438,0.056537628173828125,0.07226063706926937,0.296875,0.02115043704560643,0.9997734004966965,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool3,"(4, 4, 24)",384,1.6302083333333333,0.018880208333333332,0.06855333413467371,0.25,0.028639877482533722,0.9995900349489903,1,auto,auto,
act3,"(8, 8, 24)",1536,1.0862223307291667,0.016805013020833332,0.06469637844017653,0.25,0.0353076778784176,0.9993774256235118,1,"ufixed<6,4,RND_CONV,SAT,0>",,
pad_conv4,"(6, 6, 24)",864,0.7245370370370371,0.008391203703703705,0.04570222275644914,0.25,0.028639877482533722,0.9995900349489903,1,auto,,
conv3,"(8, 8, 24)",1536,1.8891716003417969,0.02820142110188802,0.03873817449874311,0.21875,0.017002459666206324,0.9998545770261837,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool2,"(8, 8, 24)",1536,0.8961181640625,0.007039388020833333,0.029470033325189667,0.125,0.02323839856411869,0.9997286430502341,1,auto,auto,
act2,"(16, 16, 24)",6144,0.6156260172526041,0.005864461263020833,0.027011464162271074,0.125,0.02713598350613572,0.9996310820234826,1,"ufixed<6,3,RND_CONV,SAT,0>",,
pad_conv3,"(10, 10, 24)",2400,0.573515625,0.004505208333333333,0.023576026660151735,0.125,0.02323839856411869,0.9997286430502341,1,auto,,
conv2,"(16, 16, 24)",6144,0.9255895614624023,0.008383909861246744,0.013317660894256051,0.125,0.011563052068730161,0.9999326351933309,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool1,"(16, 16, 16)",4096,0.5138664245605469,0.0017547607421875,0.010413748450935107,0.0625,0.015009411692753135,0.9998864910499143,1,auto,auto,
act1,"(32, 32, 16)",16384,0.3374347686767578,0.0013885498046875,0.009259409617387514,0.0625,0.01743436949930186,0.999846392809632,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pad_conv2,"(18, 18, 16)",5184,0.4060179157021605,0.0013864776234567902,0.009256665289720096,0.0625,0.015009411692753133,0.9998864910499143,1,auto,,
conv1,"(32, 32, 16)",16384,0.42525166273117065,0.0019129514694213867,0.005615286613648042,0.056640625,0.009952504811373945,0.9999498862465637,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool0,"(32, 32, 8)",8192,0.3465862274169922,0.0002841949462890625,0.004180471757370503,0.0625,0.007940845810178069,0.9999679667805843,1,auto,auto,
pad_conv1,"(34, 34, 8)",9248,0.3070106374351211,0.00025174362024221454,0.003934561653995768,0.0625,0.007940845810178069,0.9999679667805843,1,auto,,
act0,"(64, 64, 8)",32768,0.21664953231811523,0.0001659393310546875,0.0032136992563487413,0.0625,0.007595795181122881,0.99997104291742,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pad_conv0,"(132, 132, 1)",17424,0.8573087178783104,0.0002639969877643306,0.00045957961463377036,0.000972747802734375,0.0005094566319584558,0.9999999041934331,1,auto,,
conv0,"(64, 64, 8)",32768,0.2995562112886283,0.00031756686995620953,0.0004083973846003584,0.0017976462841033936,0.0009007234506110623,0.9999996016511525,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
