sample_index,logit_fixed_raw,logit,latency_us
0,-3120,-3.046875,4250.477
1,-3120,-3.046875,4267.499
2,-3120,-3.046875,4270.625
3,-3120,-3.046875,4275.444
4,-3120,-3.046875,4322.443
5,-3120,-3.046875,4263.401
6,-3120,-3.046875,4328.574
7,-3120,-3.046875,4310.48
8,-3120,-3.046875,4264.092
9,-3120,-3.046875,4298.508
10,-3120,-3.046875,4270.845
11,-3120,-3.046875,4250.597
12,-3120,-3.046875,4265.625
13,-3120,-3.046875,4260.235
14,-3120,-3.046875,4263.311
15,-3120,-3.046875,4262.018
16,-3120,-3.046875,4251.96
17,-3120,-3.046875,4261.348
18,-3120,-3.046875,4262.139
19,-3120,-3.046875,4265.535
20,-3120,-3.046875,4258.833
21,-3120,-3.046875,4261.497
22,-2944,-2.875,4263.702
23,-3120,-3.046875,4262.73
24,-3120,-3.046875,4263.462
25,-3120,-3.046875,4261.277
26,-3120,-3.046875,4239.496
27,-3120,-3.046875,4250.497
28,-3120,-3.046875,4259.083
29,-3120,-3.046875,4254.144
30,-3120,-3.046875,4261.648
31,-3120,-3.046875,4261.778
32,-3120,-3.046875,4261.587
33,-3120,-3.046875,4262.84
34,-3120,-3.046875,4261.798
35,-3120,-3.046875,4265.736
36,-3120,-3.046875,4267.62
37,-3120,-3.046875,4259.875
38,-3120,-3.046875,4256.999
39,-3120,-3.046875,4262.709
40,-3120,-3.046875,4259.354
41,-3120,-3.046875,4262.029
42,-3120,-3.046875,4267.499
43,-3120,-3.046875,4249.886
44,-3120,-3.046875,4253.352
45,-3120,-3.046875,4243.834
46,-3120,-3.046875,4259.194
47,-3120,-3.046875,4252.43
