sample_index,logit_fixed_raw,logit,latency_us
0,-3120,-3.046875,4256.879
1,-3120,-3.046875,4259.153
2,-3120,-3.046875,4267.429
3,-3120,-3.046875,4282.928
4,-3120,-3.046875,4262.169
5,-3120,-3.046875,4246.459
6,-3120,-3.046875,4243.143
7,-3264,-3.1875,4260.857
8,-3120,-3.046875,5286.996
9,-3120,-3.046875,4253.492
10,-3120,-3.046875,5284.963
11,-3120,-3.046875,4254.444
12,-3264,-3.1875,4263.952
13,-3120,-3.046875,4260.335
14,-3120,-3.046875,4301.393
15,-3120,-3.046875,4267.248
16,-3120,-3.046875,4257.24
17,-3120,-3.046875,4313.887
18,-3120,-3.046875,4264.283
19,-3120,-3.046875,4253.803
20,-3120,-3.046875,4261.077
21,-3120,-3.046875,4264.112
22,-3120,-3.046875,5282.819
23,-3120,-3.046875,4264.964
24,-3264,-3.1875,5285.183
25,-3120,-3.046875,4259.784
26,-3120,-3.046875,4279.071
27,-3120,-3.046875,4299.259
28,-3120,-3.046875,4234.697
29,-3120,-3.046875,4270.023
30,-3120,-3.046875,4265.065
31,-3264,-3.1875,4270.926
32,-3120,-3.046875,4272.428
33,-3120,-3.046875,4281.565
34,-3120,-3.046875,4273.89
35,-3120,-3.046875,4255.025
36,-3120,-3.046875,4268.27
37,-3120,-3.046875,4243.273
38,-3264,-3.1875,4258.582
39,-3264,-3.1875,4272.739
40,-3120,-3.046875,4272.689
41,-3120,-3.046875,4276.085
42,-3120,-3.046875,4260.796
43,-3120,-3.046875,4256.468
44,-3120,-3.046875,4272.358
45,-3120,-3.046875,4240.689
46,-3120,-3.046875,4249.124
47,-3120,-3.046875,4277.107
