sample_index,full_sum_raw,full_sum,lane_weighted_raw,lane_weighted,lane_00_raw,lane_00_sum,lane_01_raw,lane_01_sum,lane_02_raw,lane_02_sum,lane_03_raw,lane_03_sum,lane_04_raw,lane_04_sum,lane_05_raw,lane_05_sum,lane_06_raw,lane_06_sum,lane_07_raw,lane_07_sum,lane_08_raw,lane_08_sum,lane_09_raw,lane_09_sum,lane_10_raw,lane_10_sum,lane_11_raw,lane_11_sum,lane_12_raw,lane_12_sum,lane_13_raw,lane_13_sum,lane_14_raw,lane_14_sum,lane_15_raw,lane_15_sum,lane_16_raw,lane_16_sum,lane_17_raw,lane_17_sum,lane_18_raw,lane_18_sum,lane_19_raw,lane_19_sum,lane_20_raw,lane_20_sum,lane_21_raw,lane_21_sum,lane_22_raw,lane_22_sum,lane_23_raw,lane_23_sum,lane_24_raw,lane_24_sum,lane_25_raw,lane_25_sum,lane_26_raw,lane_26_sum,lane_27_raw,lane_27_sum,lane_28_raw,lane_28_sum,lane_29_raw,lane_29_sum,lane_30_raw,lane_30_sum,lane_31_raw,lane_31_sum,latency_us
0,37166,36.294921875,9681,9.4541015625,3807,3.7177734375,64263,62.7568359375,29456,28.765625,45352,44.2890625,56193,54.8759765625,37639,36.7568359375,45459,44.3935546875,37842,36.955078125,32485,31.7236328125,44617,43.5712890625,38614,37.708984375,42436,41.44140625,50563,49.3779296875,14819,14.4716796875,7381,7.2080078125,42328,41.3359375,50659,49.4716796875,45399,44.3349609375,4668,4.55859375,45961,44.8837890625,51849,50.6337890625,50318,49.138671875,57242,55.900390625,44099,43.0654296875,58321,56.9541015625,61737,60.2900390625,52738,51.501953125,58326,56.958984375,63059,61.5810546875,662,0.646484375,50905,49.7119140625,58689,57.3134765625,2118.906
1,9627,9.4013671875,50499,49.3154296875,43852,42.82421875,49293,48.1376953125,949,0.9267578125,43328,42.3125,41724,40.74609375,27369,26.7275390625,43610,42.587890625,52586,51.353515625,61714,60.267578125,43891,42.8623046875,3004,2.93359375,41284,40.31640625,45388,44.32421875,60702,59.279296875,34583,33.7724609375,55284,53.98828125,52204,50.98046875,48745,47.6025390625,44565,43.5205078125,31953,31.2041015625,9477,9.2548828125,40955,39.9951171875,46631,45.5380859375,486,0.474609375,8427,8.2294921875,58345,56.9775390625,50605,49.4189453125,36039,35.1943359375,57029,55.6923828125,23608,23.0546875,33285,32.5048828125,63896,62.3984375,2132.623
2,16969,16.5712890625,63596,62.10546875,55424,54.125,41456,40.484375,58626,57.251953125,17312,16.90625,524,0.51171875,38220,37.32421875,56359,55.0380859375,49585,48.4228515625,52309,51.0830078125,51545,50.3369140625,55330,54.033203125,50,0.048828125,48359,47.2255859375,60482,59.064453125,64415,62.9052734375,35784,34.9453125,6141,5.9970703125,21589,21.0830078125,10511,10.2646484375,59384,57.9921875,7804,7.62109375,53061,51.8173828125,63418,61.931640625,46038,44.958984375,64727,63.2099609375,49224,48.0703125,9856,9.625,56255,54.9365234375,65439,63.9052734375,62258,60.798828125,3258,3.181640625,62946,61.470703125,2133.033
3,8702,8.498046875,22452,21.92578125,35653,34.8173828125,21632,21.125,43247,42.2333984375,6230,6.083984375,61006,59.576171875,50220,49.04296875,21799,21.2880859375,58855,57.4755859375,50224,49.046875,26797,26.1689453125,38979,38.0654296875,9636,9.41015625,54298,53.025390625,23826,23.267578125,35720,34.8828125,14181,13.8486328125,46974,45.873046875,28249,27.5869140625,54039,52.7724609375,31277,30.5439453125,24876,24.29296875,13333,13.0205078125,55923,54.6123046875,10906,10.650390625,50663,49.4755859375,45008,43.953125,45467,44.4013671875,5905,5.7666015625,37804,36.91796875,53401,52.1494140625,11324,11.05859375,55362,54.064453125,2133.143
4,29545,28.8525390625,63502,62.013671875,32723,31.9560546875,46259,45.1748046875,63418,61.931640625,13736,13.4140625,19988,19.51953125,50078,48.904296875,43923,42.8935546875,47843,46.7216796875,994,0.970703125,2046,1.998046875,33875,33.0810546875,9934,9.701171875,60410,58.994140625,50220,49.04296875,57031,55.6943359375,7478,7.302734375,3138,3.064453125,7893,7.7080078125,12122,11.837890625,16404,16.01953125,61228,59.79296875,8621,8.4189453125,44531,43.4873046875,9717,9.4892578125,82,0.080078125,40229,39.2861328125,33491,32.7060546875,34762,33.947265625,8964,8.75390625,9144,8.9296875,57674,56.322265625,59093,57.7080078125,2128.004
5,30197,29.4892578125,29322,28.634765625,40294,39.349609375,16372,15.98828125,46110,45.029296875,59974,58.568359375,26130,25.517578125,63732,62.23828125,53441,52.1884765625,52124,50.90234375,43549,42.5283203125,61352,59.9140625,47536,46.421875,47908,46.78515625,575,0.5615234375,50399,49.2177734375,55202,53.908203125,18506,18.072265625,121,0.1181640625,10839,10.5849609375,15335,14.9755859375,12547,12.2529296875,55244,53.94921875,41,0.0400390625,58072,56.7109375,45897,44.8212890625,10385,10.1416015625,57990,56.630859375,1977,1.9306640625,62239,60.7802734375,58710,57.333984375,35567,34.7333984375,61149,59.7158203125,40528,39.578125,2137.161
6,2525,2.4658203125,48655,47.5146484375,46942,45.841796875,7136,6.96875,54059,52.7919921875,14061,13.7314453125,62024,60.5703125,18592,18.15625,2675,2.6123046875,41215,40.2490234375,35455,34.6240234375,23421,22.8720703125,30265,29.5556640625,23513,22.9619140625,62494,61.029296875,16206,15.826171875,42929,41.9228515625,20661,20.1767578125,6927,6.7646484375,838,0.818359375,19594,19.134765625,8313,8.1181640625,24551,23.9755859375,41246,40.279296875,49168,48.015625,61267,59.8310546875,22228,21.70703125,3494,3.412109375,4206,4.107421875,22704,22.171875,60620,59.19921875,56728,55.3984375,25804,25.19921875,10693,10.4423828125,2138.794
7,17763,17.3466796875,62629,61.1611328125,56624,55.296875,58142,56.779296875,16436,16.05078125,913,0.8916015625,51026,49.830078125,778,0.759765625,42456,41.4609375,39541,38.6142578125,2069,2.0205078125,47924,46.80078125,4903,4.7880859375,50592,49.40625,55008,53.71875,49492,48.33203125,295,0.2880859375,7647,7.4677734375,3409,3.3291015625,38033,37.1416015625,11223,10.9599609375,3163,3.0888671875,2688,2.625,10109,9.8720703125,11427,11.1591796875,9180,8.96484375,33860,33.06640625,2902,2.833984375,25001,24.4150390625,4286,4.185546875,47949,46.8251953125,693,0.6767578125,44417,43.3759765625,6473,6.3212890625,2137.061
8,50399,49.2177734375,34926,34.107421875,15615,15.2490234375,5568,5.4375,996,0.97265625,3662,3.576171875,26780,26.15234375,12634,12.337890625,27458,26.814453125,35215,34.3896484375,12607,12.3115234375,5225,5.1025390625,28929,28.2509765625,31957,31.2080078125,16847,16.4521484375,32041,31.2900390625,16987,16.5888671875,59461,58.0673828125,22035,21.5185546875,64571,63.0576171875,8666,8.462890625,27682,27.033203125,12296,12.0078125,6490,6.337890625,44887,43.8349609375,43211,42.1982421875,23210,22.666015625,11476,11.20703125,61850,60.400390625,10546,10.298828125,38872,37.9609375,25750,25.146484375,21985,21.4697265625,15786,15.416015625,2133.033
9,6345,6.1962890625,11135,10.8740234375,32108,31.35546875,33778,32.986328125,30032,29.328125,34467,33.6591796875,43960,42.9296875,59117,57.7314453125,52302,51.076171875,58479,57.1083984375,61750,60.302734375,64030,62.529296875,40958,39.998046875,53845,52.5830078125,64207,62.7021484375,12273,11.9853515625,5726,5.591796875,4140,4.04296875,51646,50.435546875,17820,17.40234375,35613,34.7783203125,17507,17.0966796875,3169,3.0947265625,59819,58.4169921875,62796,61.32421875,58270,56.904296875,57859,56.5029296875,61293,59.8564453125,39432,38.5078125,45938,44.861328125,35900,35.05859375,36297,35.4462890625,31363,30.6279296875,51171,49.9716796875,2173.639
